dbr:Little_Cop	wd:Q13618766
dbr:The_Hound_of_the_Baskervilles__u0028_1921_film_u0029_	wd:Q3221285
dbr:Guillaume_Pepy	wd:Q136392
dbr:Ripped_Off	wd:Q4004117
dbr:I_Don_u0027_t_Care__u0028_Apocalyptica_song_u0029_	wd:Q11682787
dbr:Sacred_Arias_u003A__The_Home_Video	wd:Q7397057
dbr:Crimson__u0026__Clover__u0028_album_u0029_	wd:Q5185675
dbr:Rutgers_Stadium__u0028_1938_u0029_	wd:Q7382812
dbr:Who_u0027_s_Been_Sleeping_in_My_Bed_u0025_3F	wd:Q3279033
dbr:Sharon_Stone	wd:Q62975
dbr:Try_Anything_Once	wd:Q1756706
dbr:Richard_A_u002E__Muller	wd:Q513559
dbr:Carol_A_u002E__Barnes	wd:Q5044216
dbr:Improbable__u0028_The_X_u002D_Files_u0029_	wd:Q6007706
dbr:4_u002D_Player_Bowling_Alley	wd:Q4637195
dbr:Tot_u00F2_truffa_62	wd:Q3283243
dbr:Jason_Mraz	wd:Q192515
dbr:Howard_Shore	wd:Q207773
dbr:Edward_Coxen	wd:Q2884883
dbr:Believe__u0028_Orianthi_album_u0029_	wd:Q2894460
dbr:Edge_of_Tomorrow	wd:Q1187607
dbr:KaBlam_u0021_	wd:Q1719460
dbr:The_Cheetah_Girls__u0028_film_u0029_	wd:Q261704
dbr:Jaws__u0028_novel_u0029_	wd:Q1322449
dbr:Miguel_M_u00E9_ndez	wd:Q6844701
dbr:Crosby_u002C__Stills_u002C__Nash__u0026__Young	wd:Q733159
dbr:Timecop	wd:Q240849
dbr:2_On	wd:Q16155493
dbr:Charlotte_Gainsbourg	wd:Q276005
dbr:Our_Town__u0028_1940_film_u0029_	wd:Q1620244
dbr:Sutradharulu	wd:Q7650116
dbr:National_Congress__u0028_Sudan_u0029_	wd:Q1471945
dbr:Bantam_Press	wd:Q4857180
dbr:Beck	wd:Q11901
dbr:Bunty_Aur_Babli	wd:Q852001
dbr:Get_Down__u0028_You_u0027_re_the_One_for_Me_u0029_	wd:Q2454908
dbr:The_Four_of_Us_Are_Dying	wd:Q3317527
dbr:One_Voice__u0028_Barry_Manilow_album_u0029_	wd:Q7093332
dbr:The_Trapp_Family_in_America	wd:Q17512871
dbr:Azerbaijan	wd:Q227
dbr:Teen_sitcom	wd:Q17113138
dbr:Kondaveeti_Donga	wd:Q6428973
dbr:The_Lord_of_the_Rings__u0028_film_series_u0029_	wd:Q190214
dbr:When_Eagles_Strike	wd:Q1134308
dbr:Maurice_F_u002E__Weisner	wd:Q6793065
dbr:Odd_Arne_Westad	wd:Q7077309
dbr:Jacques_Richard	wd:Q1678083
dbr:Rati_Agnihotri	wd:Q2575841
dbr:Another_Green_World	wd:Q771427
dbr:Beside_Still_Waters__u0028_film_u0029_	wd:Q15070715
dbr:Lakshmi_Gopalaswamy	wd:Q13114429
dbr:Isaiah_Thomas__u0028_basketball_u0029_	wd:Q336030
dbr:Angel_in_Exile	wd:Q10720418
dbr:Celtic_F_u002E_C_u002E_	wd:Q19593
dbr:George_Harrison	wd:Q2643
dbr:Bob_Brookmeyer	wd:Q494982
dbr:Rock_Me__u0028_ABBA_song_u0029_	wd:Q1704065
dbr:Dick_Feagler	wd:Q5272902
dbr:Five_Golden_Hours	wd:Q5455955
dbr:The_Cotton_Club__u0028_film_u0029_	wd:Q639387
dbr:Alexei_Mastryukov	wd:Q19910090
dbr:Curse_of_the_Pink_Panther	wd:Q1193469
dbr:Night_at_the_Museum_u003A__Battle_of_the_Smithsonian	wd:Q476726
dbr:Thoroughly_Modern_Millie	wd:Q2574548
dbr:Anzio__u0028_film_u0029_	wd:Q600205
dbr:Lost_Odyssey	wd:Q558753
dbr:Giacomo_Gentilomo	wd:Q441522
dbr:Celia_Rees	wd:Q448421
dbr:Mint_Car	wd:Q923132
dbr:Cassandra_u0027_s_Dream	wd:Q833530
dbr:Masal_County	wd:Q1291651
dbr:Witness_to_Murder	wd:Q3546792
dbr:Jessie_Newbery	wd:Q6187778
dbr:Catspaw__u0028_Star_Trek_u003A__The_Original_Series_u0029_	wd:Q3487187
dbr:Nattukku_Oru_Nallavan	wd:Q6980377
dbr:William_H_u002E__Ziegler	wd:Q2579107
dbr:The_Greatest_Man_That_Ever_Lived__u0028_Variations_on_a_Shaker_Hymn_u0029_	wd:Q2354582
dbr:Metairie_u002C__Louisiana	wd:Q126661
dbr:Dave_Fridmann	wd:Q3017168
dbr:Feed__u0027_em_and_Weep	wd:Q3067968
dbr:Yh_u00E4__h_u00E4_m_u00E4_r_u00E4__u00E4_	wd:Q4053454
dbr:All_Good_Things__u0028_Come_to_an_End_u0029_	wd:Q653920
dbr:Ronin__u0028_film_u0029_	wd:Q751401
dbr:Social_Democratic_Party_of_Bosnia_and_Herzegovina	wd:Q1143161
dbr:Bharatiya_Janata_Party	wd:Q10230
dbr:Rebecca__u0028_1940_film_u0029_	wd:Q204212
dbr:D3_Publisher	wd:Q1361716
dbr:Five_and_Ten	wd:Q2307917
dbr:Jim_Beaver	wd:Q155378
dbr:Jim_McKenzie__u0028_ice_hockey_u002C__born_1969_u0029_	wd:Q1689153
dbr:Deepwater__u0028_film_u0029_	wd:Q1154898
dbr:Dhoom	wd:Q431609
dbr:Monuma_Constant_Jr_u002E_	wd:Q16728171
dbr:Erin_Pitt	wd:Q1028819
dbr:Cesare_Zavattini	wd:Q469164
dbr:Fyodor_Dostoyevsky	wd:Q991
dbr:Robin_Wood__u0028_critic_u0029_	wd:Q1872704
dbr:Speedy_Claxton	wd:Q2568302
dbr:Torchy_Gets_Her_Man	wd:Q7825587
dbr:Blake_Shelton	wd:Q94831
dbr:Finsp_u00E5_ng_Municipality	wd:Q503180
dbr:Wakuteka_Take_a_Chance	wd:Q1139882
dbr:Nathaniel_Parker	wd:Q208746
dbr:Run_of_the_Mill__u0028_George_Harrison_song_u0029_	wd:Q11703366
dbr:Slim_Susie	wd:Q690428
dbr:Peg_o_u0027__My_Heart__u0028_1933_film_u0029_	wd:Q3898756
dbr:The_Prince_of_Egypt__u0028_soundtrack_u0029_	wd:Q7758267
dbr:Fright_Night__u0028_2011_film_u0029_	wd:Q268824
dbr:The_Last_Save_of_Moacyr_Barbosa	wd:Q7745997
dbr:Alone_Again__u0028_Dokken_song_u0029_	wd:Q4734393
dbr:Krautrock	wd:Q320592
dbr:Dany__u0028_film_u0029_	wd:Q5220075
dbr:Michal_Bat_u002D_Adam	wd:Q6988917
dbr:The_Boat_That_Rocked	wd:Q856805
dbr:The_Man_Who_Broke_the_Bank_at_Monte_Carlo__u0028_film_u0029_	wd:Q3819982
dbr:Free_Flying_Soul	wd:Q5499839
dbr:Peter_W_u002E__Rodino	wd:Q2078864
dbr:Wild_Harvest	wd:Q3231794
dbr:The_Fisher_King	wd:Q466297
dbr:Lagos	wd:Q8673
dbr:Introduction_to_Finality	wd:Q6058922
dbr:Casablanca_Records	wd:Q1046707
dbr:A_Shot_at_Glory	wd:Q2619438
dbr:Georges_M_u00E9_li_u00E8_s	wd:Q152272
dbr:Merry_Andrew__u0028_film_u0029_	wd:Q6820402
dbr:Iraklis_1908_Thessaloniki_F_u002E_C_u002E_	wd:Q592241
dbr:Yakusoku_no_Tsubasa	wd:Q8047251
dbr:Flight_to_Tangier	wd:Q15657175
dbr:Republic_of_the_Congo	wd:Q971
dbr:Supper__u0028_album_u0029_	wd:Q7644422
dbr:Marcello_Mastroianni_u003A__I_Remember	wd:Q3845638
dbr:Hallelujah_u0021___u0028_film_u0029_	wd:Q1571464
dbr:Edward_G_u002E__Robinson	wd:Q83812
dbr:Anton_Plenikowski	wd:Q120502
dbr:Leroy__u0026__Stitch	wd:Q1069050
dbr:Pyar_Ke_Naam_Qurbaan	wd:Q7262855
dbr:Lord_of_War	wd:Q308681
dbr:Thomas_the_Rhymer__u0028_novel_u0029_	wd:Q3525731
dbr:Akale	wd:Q3597158
dbr:True_Romance	wd:Q1127709
dbr:HBO	wd:Q23633
dbr:Wolfen__u0028_film_u0029_	wd:Q1754829
dbr:Last_Embrace	wd:Q833638
dbr:Armenians	wd:Q79797
dbr:Naite_mo_Iin_Da_yo	wd:Q16320665
dbr:Hari_Puttar_u003A__A_Comedy_of_Terrors	wd:Q1585332
dbr:Rocco_Milde	wd:Q2160188
dbr:Two_of_a_Kind__u0028_1983_film_u0029_	wd:Q232248
dbr:I_u0027_m_Your_Daddy	wd:Q2438928
dbr:Girl_6	wd:Q2517431
dbr:In_Old_California__u0028_1910_film_u0029_	wd:Q400764
dbr:Trespassing__u0028_album_u0029_	wd:Q1321436
dbr:Literary_realism	wd:Q667661
dbr:John_Leckie	wd:Q542115
dbr:Down_to_Earth__u0028_1995_film_u0029_	wd:Q5303026
dbr:Frankenstein_u002C__Jr_u002E__and_The_Impossibles	wd:Q3284352
dbr:William_Stanier	wd:Q4020159
dbr:Ninne_Istapaddanu	wd:Q16252424
dbr:Kokuhaku_Kinenbi	wd:Q3135071
dbr:To_Rome_with_Love__u0028_film_u0029_	wd:Q29658
dbr:Le_t_u00E9_l_u00E9_phone_sonne_toujours_deux_fois_u0021__u0021_	wd:Q3228578
dbr:Mary_Pickford	wd:Q104109
dbr:Megham	wd:Q6809025
dbr:Dil_u002D_e_u002D_Nadaan	wd:Q5276597
dbr:Vracejte_konve_na_m_u00ED_sto_u002E_	wd:Q17563836
dbr:Ms_u002E__Pac_u002D_Man	wd:Q2141683
dbr:Fontana_Records	wd:Q729590
dbr:Moorbank_Botanic_Gardens	wd:Q6908082
dbr:Power__u0028_KMFDM_song_u0029_	wd:Q7236254
dbr:Peak_Performance__u0028_Star_Trek_u003A__The_Next_Generation_u0029_	wd:Q3506645
dbr:Social_Democratic_Party_of_Germany	wd:Q49768
dbr:Loving__u0028_2016_film_u0029_	wd:Q21527828
dbr:Clint_Benedict	wd:Q1101573
dbr:Kelly_Packard	wd:Q179353
dbr:Hawk_Nelson	wd:Q1034544
dbr:Ted_G_u00E4_rdestad	wd:Q552529
dbr:Reflexive_Entertainment	wd:Q4048134
dbr:Foreign_Keys	wd:Q5468272
dbr:Death_Magnetic	wd:Q151657
dbr:Naaka_Bandi	wd:Q6956520
dbr:Chris_Bigras	wd:Q19867072
dbr:Million_Dollar_Baby	wd:Q184255
dbr:Edward_Herrmann	wd:Q536437
dbr:Nina_Foch	wd:Q235632
dbr:Susan_Strasberg	wd:Q265706
dbr:John_de_la_Pole_u002C__1st_Earl_of_Lincoln	wd:Q957773
dbr:Vocal_music	wd:Q685884
dbr:Neil_Lowe	wd:Q16217425
dbr:Othello__u0028_1995_film_u0029_	wd:Q2036869
dbr:Forget_Me_Not__u0028_Bonnie_Pink_song_u0029_	wd:Q5469654
dbr:The_Prophecy_3_u003A__The_Ascent	wd:Q502286
dbr:Elisa_u002C__vida_m_u00ED_a	wd:Q59612
dbr:National_Democratic_Party__u0028_Argentina_u0029_	wd:Q832976
dbr:Dimitri_Tiomkin	wd:Q317033
dbr:Mexican_Navy	wd:Q2528358
dbr:Neerkumizhi	wd:Q12985254
dbr:Bean__u0028_film_u0029_	wd:Q752103
dbr:Jaroslav_Ob_u0161_ut	wd:Q928096
dbr:The_Fountain__u0028_1934_film_u0029_	wd:Q7734963
dbr:Muhammad_Baqir_Majlisi	wd:Q755939
dbr:Fire_It_Up__u0028_Thousand_Foot_Krutch_song_u0029_	wd:Q3624597
dbr:By_Love_Possessed__u0028_film_u0029_	wd:Q3363032
dbr:Dick_Tracy__u0028_1945_film_u0029_	wd:Q3706969
dbr:SM_UB_u002D_47	wd:Q7391657
dbr:Fight__u0028_Kanjani_Eight_album_u0029_	wd:Q5447727
dbr:Blowup	wd:Q658204
dbr:Cameron_Crowe	wd:Q318287
dbr:Colt__u002E_45__u0028_film_u0029_	wd:Q5149386
dbr:Fahad_Khalfan	wd:Q3738372
dbr:Diva_Starz_u003A__Mall_Mania	wd:Q5283792
dbr:Message_to_My_Girl	wd:Q6821805
dbr:Mad_Max_u003A__Fury_Road	wd:Q1757288
dbr:First_Opium_War	wd:Q191282
dbr:Marand_County	wd:Q1287758
dbr:French_Poets_and_Novelists	wd:Q5016492
dbr:Alexisonfire	wd:Q1298697
dbr:Skin_Trade__u0028_song_u0029_	wd:Q3962518
dbr:Armistead_Mason_Dobie	wd:Q4793601
dbr:Kent__u0028_band_u0029_	wd:Q648786
dbr:Japanese_battleship_Asahi	wd:Q711229
dbr:Mani_Ratnam	wd:Q174648
dbr:New_Brunswick_u002C__New_Jersey	wd:Q138338
dbr:The_Velvet_Touch	wd:Q7772143
dbr:Barack_Obama	wd:Q76
dbr:Malihini_Holiday	wd:Q6743543
dbr:Sindhu_Bhairavi__u0028_film_u0029_	wd:Q7522240
dbr:St_u002E__Thomas_u0027__School__u0028_New_Delhi_u0029_	wd:Q7591879
dbr:Simon_Kapwepwe	wd:Q2287615
dbr:F_u002E_A_u002E_M_u002E_E_u002E___u0028_song_u0029_	wd:Q5423654
dbr:Neville_Brand	wd:Q1982288
dbr:Alexandria_u002C__Louisiana	wd:Q985351
dbr:Kickin_u0027__It_Old_Skool	wd:Q6404335
dbr:Leigh_Harline	wd:Q1367518
dbr:Barton_MacLane	wd:Q577621
dbr:Changing_Woman__u0028_album_u0029_	wd:Q5072036
dbr:Nevada_Smith	wd:Q1232627
dbr:Kanjani_Eight	wd:Q1061446
dbr:Licence_to_Steal	wd:Q6543022
dbr:Alla_Latynina	wd:Q4255046
dbr:Charles_Harding_Firth	wd:Q5078769
dbr:As_Time_Goes_By__u0028_TV_series_u0029_	wd:Q4803030
dbr:She_Married_Her_Boss	wd:Q782547
dbr:An_Occurrence_at_Owl_Creek_Bridge__u0028_film_u0029_	wd:Q2315821
dbr:Wang_Donglei	wd:Q970874
dbr:George_King__u0028_basketball_u0029_	wd:Q1623135
dbr:Career_Opportunities__u0028_film_u0029_	wd:Q1114685
dbr:Catchfire	wd:Q1050541
dbr:True_Heart_Susie	wd:Q1132715
dbr:Yoshihiro_Nishimura	wd:Q4022902
dbr:Tarzan_u0027_s_Secret_Treasure	wd:Q587565
dbr:Bobbi_Brown	wd:Q281024
dbr:Brooklyn_Nets	wd:Q572134
dbr:Georges_Oltramare	wd:Q124570
dbr:Jingle_All_the_Way	wd:Q1064530
dbr:Ruslan_Khasanshin	wd:Q511315
dbr:Duet__u0028_Gary_Burton__u0026__Chick_Corea_album_u0029_	wd:Q5312242
dbr:Carver__u0028_novel_u0029_	wd:Q5047525
dbr:Night_Caller_from_Outer_Space	wd:Q3428213
dbr:Princess_Mononoke	wd:Q186572
dbr:St_u002E__Elmo__u0028_1923_American_film_u0029_	wd:Q3730154
dbr:Horace_Thompson_Carpenter	wd:Q5902187
dbr:Bronis_u0142_aw_Kaper	wd:Q927472
dbr:Prathapachandran	wd:Q7238653
dbr:Just_Can_u0027_t_Get_Enough__u0028_The_Black_Eyed_Peas_song_u0029_	wd:Q1714098
dbr:Arashi_Single_Collection_1999_u2013_2001	wd:Q2759067
dbr:My_American_Uncle	wd:Q2153352
dbr:Agust_u00ED_n_Almod_u00F3_var	wd:Q399076
dbr:I_Am_Dina	wd:Q205687
dbr:Miroslav__u0160_indelka	wd:Q13402885
dbr:Mona_Burgin	wd:Q6897654
dbr:Politician	wd:Q82955
dbr:Michael_Schumann	wd:Q1929282
dbr:You__u0028_Ayumi_Hamasaki_song_u0029_	wd:Q2296935
dbr:No_One_Lives	wd:Q3342445
dbr:Greatest_Hits_u002C__Vol_u002E__2__u0028_Ronnie_Milsap_album_u0029_	wd:Q5600968
dbr:Sing__u0028_1989_film_u0029_	wd:Q7522618
dbr:Patrick_Poulin	wd:Q786544
dbr:Fat_Albert_and_the_Cosby_Kids	wd:Q2553745
dbr:C_u0027__u00E9_tait_un_rendez_u002D_vous	wd:Q1151219
dbr:The_American__u0028_2010_film_u0029_	wd:Q1164740
dbr:Ashes_of_Vengeance	wd:Q4804886
dbr:Ludwig_Karl_Georg_Pfeiffer	wd:Q63727
dbr:Jack_Robson	wd:Q1677196
dbr:Stop_Thief_u0021_	wd:Q2870537
dbr:All_I_Ever_Wanted__u0028_Basshunter_song_u0029_	wd:Q2837493
dbr:Daniel_Petrie	wd:Q705572
dbr:Lennon__u0028_musical_u0029_	wd:Q6522814
dbr:Pongalo_Pongal	wd:Q12932752
dbr:Money_to_Blow	wd:Q6899291
dbr:Shamlek	wd:Q5840793
dbr:Killa	wd:Q4042199
dbr:On_the_Road__u0028_film_u0029_	wd:Q938858
dbr:Back_Off_Boogaloo	wd:Q640295
dbr:Stuart_Whitman	wd:Q470998
dbr:Abdulsalam_Haykal	wd:Q4666209
dbr:Jacques_Rivette	wd:Q167475
dbr:Good_as_Gold_u0021___u0028_Country_Gentlemen_album_u0029_	wd:Q5583078
dbr:Dolores_del_R_u00ED_o	wd:Q124057
dbr:Disturbed__u0028_band_u0029_	wd:Q131366
dbr:Louis_Cheikho	wd:Q1871590
dbr:Mariah_Carey	wd:Q41076
dbr:Boomerang__u0028_Nicole_Scherzinger_song_u0029_	wd:Q6836537
dbr:Faj_u00E3__das_Pontas	wd:Q10279810
dbr:Contempt__u0028_film_u0029_	wd:Q598109
dbr:The_Bed_u0027_s_Too_Big_Without_You	wd:Q7716232
dbr:Summer_of_Sam	wd:Q1150713
dbr:Underwater_u0021_	wd:Q498864
dbr:Fukuoka	wd:Q26600
dbr:Medusa__u0028_The_X_u002D_Files_u0029_	wd:Q6807347
dbr:Henry_Ernest_Atkins	wd:Q1375984
dbr:The_Careless_Years	wd:Q7721362
dbr:Clint_Smith	wd:Q362694
dbr:Stranglehold__u0028_Paul_McCartney_song_u0029_	wd:Q6141974
dbr:Hey_You__u0028_Madonna_song_u0029_	wd:Q2085811
dbr:Paris_Barclay	wd:Q951531
dbr:Cosmopterix	wd:Q146874
dbr:Cosmopterix_sinelinea	wd:Q9089727
dbr:Cornwall	wd:Q23148
dbr:University_of_North_Texas	wd:Q860527
dbr:Viji_Thampi	wd:Q7929340
dbr:Catholicism	wd:Q1841
dbr:The_Collection__u0028_Cast_album_u0029_	wd:Q16829870
dbr:Open_Your_Heart__u0028_The_Human_League_song_u0029_	wd:Q3099568
dbr:Murder_Was_the_Case	wd:Q3179389
dbr:Pavel_Kutakhov__u0028_marshal_u0029_	wd:Q321206
dbr:M_u002E__L_u002E__Ahamed_Fareeth	wd:Q20683830
dbr:Bart_u0131_n_Province	wd:Q83342
dbr:Wei_Tao_u002D_ming	wd:Q701051
dbr:Lordegan_County	wd:Q1279074
dbr:Victory__u0028_1996_film_u0029_	wd:Q3557758
dbr:The_Soldier_u0027_s_Return	wd:Q7765153
dbr:Qalaat_al_u002D_Madiq	wd:Q7265911
dbr:Robert_Lawrence__u0028_film_editor_u0029_	wd:Q15454259
dbr:How_Funny_Can_Sex_Be_u0025_3F	wd:Q2261264
dbr:George_Waddington	wd:Q5545789
dbr:Rang_Birangi	wd:Q3429741
dbr:Daisy_Miller__u0028_film_u0029_	wd:Q2061359
dbr:Steven_Kampfer	wd:Q1486001
dbr:Bordeaux	wd:Q1479
dbr:Independent_school__u0028_United_Kingdom_u0029_	wd:Q2418495
dbr:Dombey_and_Son__u0028_film_u0029_	wd:Q5289976
dbr:Talk_Like_That	wd:Q7679660
dbr:Anyone_Lived_in_a_Pretty_How_Town__u0028_film_u0029_	wd:Q613974
dbr:Murari__u0028_film_u0029_	wd:Q3764560
dbr:Raw_Deal__u0028_1986_film_u0029_	wd:Q261601
dbr:Bloodfist_VI_u003A__Ground_Zero	wd:Q4241482
dbr:West_Coast_Blues_u0021_	wd:Q7984772
dbr:Oak_Ridge_Associated_Universities	wd:Q5583848
dbr:Gharba	wd:Q5555701
dbr:Salina_u002C__Kansas	wd:Q1650620
dbr:It_u0027_s_a_Shame__u0028_The_Spinners_song_u0029_	wd:Q6091284
dbr:A_u002E__T_u002E__Ummer	wd:Q13110599
dbr:John_Hough__u0028_director_u0029_	wd:Q946315
dbr:Moondru_Mudichu	wd:Q3569096
dbr:The_Bohemian_Girl__u0028_1936_film_u0029_	wd:Q1169905
dbr:Ian_Stevenson	wd:Q731300
dbr:Indianapolis	wd:Q6346
dbr:Mia_moglie__u00E8__una_strega	wd:Q1918010
dbr:Angel__u0028_Madonna_song_u0029_	wd:Q531447
dbr:Forbidden_Paradise	wd:Q1996136
dbr:Sardasht_Rural_District__u0028_Chaharmahal_and_Bakhtiari_Province_u0029_	wd:Q5669380
dbr:Colorado_Springs_u002C__Colorado	wd:Q49258
dbr:KiKi_KaiKai	wd:Q1984732
dbr:Hermann_H_u00FC_ffer	wd:Q86758
dbr:Sathyameva_Jayathe	wd:Q7426179
dbr:Anthology_series	wd:Q23653
dbr:Osona	wd:Q12793
dbr:Toyota_Prius__u0028_XW20_u0029_	wd:Q7830857
dbr:What_More_Can_I_Give	wd:Q1066094
dbr:The_Beatles_Anthology__u0028_documentary_u0029_	wd:Q7716124
dbr:If_I_Ruled_the_World__u0028_Imagine_That_u0029_	wd:Q1115910
dbr:The_Town_That_Dreaded_Sundown__u0028_2014_film_u0029_	wd:Q16679828
dbr:The_Family_Stone	wd:Q1064838
dbr:Wilhelmina_of_the_Netherlands	wd:Q150747
dbr:Every_Girl__u0028_Young_Money_song_u0029_	wd:Q5417497
dbr:David_Buttolph	wd:Q1173882
dbr:Pitiful__u0028_Sick_Puppies_song_u0029_	wd:Q7198961
dbr:M_u002E__G_u002E__Soman	wd:Q6712604
dbr:Graffiti__u0028_Chris_Brown_album_u0029_	wd:Q1507804
dbr:Give_It_to_You__u0028_Eve_song_u0029_	wd:Q2065489
dbr:Tips_Industries_Limited	wd:Q7808967
dbr:Ardy_Lightfoot	wd:Q1408193
dbr:Apoorvaragam	wd:Q4780491
dbr:Green_Street	wd:Q1133132
dbr:Michael_J_u002E__Pollard	wd:Q730270
dbr:Casa_Bonita__u0028_South_Park_u0029_	wd:Q837383
dbr:Banarasi_Babu__u0028_1973_film_u0029_	wd:Q10989560
dbr:School_Ties	wd:Q40074
dbr:Anke_Late_Night	wd:Q556801
dbr:Alexandria_u002C__Virginia	wd:Q88
dbr:Nathaniel_H_u002E__Harris	wd:Q6969649
dbr:Requiem__u0028_The_X_u002D_Files_u0029_	wd:Q7314832
dbr:Tampere	wd:Q40840
dbr:The_Pear_Tree	wd:Q4150897
dbr:TVT_Records	wd:Q2283665
dbr:Rauma_u002C__Finland	wd:Q37013
dbr:Palermo	wd:Q2656
dbr:Jeffrey_Wright__u0028_actor_u0029_	wd:Q343059
dbr:Ishq__u0028_2012_film_u0029_	wd:Q6080566
dbr:Jeevana_Jyothi__u0028_1975_film_u0029_	wd:Q6173073
dbr:Paul_Grimault	wd:Q1351064
dbr:The_Goose_Steps_Out	wd:Q7737335
dbr:Disillusion__u0028_album_u0029_	wd:Q2289557
dbr:Nagano_Prefecture	wd:Q127877
dbr:Nikolai_Lunin	wd:Q1992280
dbr:El_Privilegio_de_Amar__u0028_album_u0029_	wd:Q5351914
dbr:The_Bonfire_of_the_Vanities__u0028_film_u0029_	wd:Q730473
dbr:Naseeruddin_Shah	wd:Q469945
dbr:Fat_Wreck_Chords	wd:Q605388
dbr:November_Rain	wd:Q1142302
dbr:Rough_Trade_Records	wd:Q385558
dbr:The_Cop_u002D_Killer__u0028_short_story_u0029_	wd:Q15090953
dbr:Samuel_Evans__u0028_VC_u0029_	wd:Q7411339
dbr:Zakuta	wd:Q848816
dbr:Vijay__u0028_1988_film_u0029_	wd:Q7929084
dbr:The_Matrix_u003A__Path_of_Neo	wd:Q1203242
dbr:Dee_Wallace	wd:Q258064
dbr:Camden_u002C__New_Jersey	wd:Q138367
dbr:G_Men	wd:Q1193221
dbr:R_U_Still_Down_u0025_3F__u0028_Remember_Me_u0029_	wd:Q847524
dbr:William_G_u002E__Tapply	wd:Q8009592
dbr:Toto_u002C__Peppino_and_the_Fanatics	wd:Q3281286
dbr:Way_Down_South__u0028_album_u0029_	wd:Q7975765
dbr:Radar_Records	wd:Q3416359
dbr:Vic_Mercredi	wd:Q3556842
dbr:Jennifer_Melfi	wd:Q2463175
dbr:Won_u0027_t_Back_Down__u0028_film_u0029_	wd:Q4020750
dbr:Steve_Mix	wd:Q2385023
dbr:Mission_Kashmir	wd:Q766020
dbr:Zulm_Ki_Hukumat	wd:Q8075173
dbr:Mary_u002C__Scherrie__u0026__Susaye	wd:Q3850426
dbr:Detachment__u0028_film_u0029_	wd:Q652406
dbr:Columbia_u002C__South_Carolina	wd:Q38453
dbr:Hey_Brother	wd:Q15063163
dbr:Evald_Tipner	wd:Q245940
dbr:Mercedes_u002D_Benz	wd:Q36008
dbr:Rudolph_Mat_u00E9_	wd:Q1668173
dbr:The_Gift__u0028_The_Twilight_Zone_u0029_	wd:Q2784009
dbr:The_Firemen_of_Viggi_u00F9_	wd:Q3791157
dbr:Polaris__u0028_video_game_u0029_	wd:Q7209123
dbr:Super_8__u0028_The_Killing_u0029_	wd:Q7642118
dbr:View_of_Arles_u002C__Flowering_Orchards	wd:Q3314658
dbr:My_Feelings_for_You	wd:Q2760324
dbr:John_Moores__u0028_baseball_u0029_	wd:Q6249310
dbr:Scarborough_u002C__Toronto	wd:Q1025401
dbr:Some_Dudes_Can_Fight	wd:Q7559386
dbr:Mike_Fall	wd:Q6846732
dbr:Adam_u0027_s_Rib	wd:Q1059199
dbr:Gregory_Ratoff	wd:Q1361039
dbr:Arthur_Crispien	wd:Q68278
dbr:Long_Distance_Call	wd:Q2618946
dbr:Bride_of_Vengeance	wd:Q3213501
dbr:Order_of_the_Red_Star	wd:Q695106
dbr:A_Ring_of_Endless_Light__u0028_film_u0029_	wd:Q2355488
dbr:Preacher_Man	wd:Q7239297
dbr:Dextronaut	wd:Q5268497
dbr:Hampshire	wd:Q23204
dbr:Om_Jai_Jagadish	wd:Q3351801
dbr:Transamerica__u0028_film_u0029_	wd:Q742614
dbr:Pigs_Have_Wings__u0028_film_u0029_	wd:Q3908464
dbr:The_Split	wd:Q1759422
dbr:Kinshasa	wd:Q3838
dbr:Ardabil_County	wd:Q1277868
dbr:Freedom_Writers	wd:Q288150
dbr:Sir_David_Graaff_u002C__1st_Baronet	wd:Q32798
dbr:Accepted_Frewen	wd:Q2822684
dbr:The_Electric_Horseman	wd:Q946453
dbr:Take_the_Skinheads_Bowling	wd:Q7677942
dbr:Sexy_MF	wd:Q3480979
dbr:The_Virgin_of_Nuremberg	wd:Q600730
dbr:Brideless_Groom	wd:Q4966124
dbr:Three_Brave_Men	wd:Q3801196
dbr:Signed_Sealed_and_Delivered	wd:Q7512900
dbr:Leonard_Rosenman	wd:Q1346580
dbr:Cowgirls_Don_u0027_t_Cry	wd:Q5179688
dbr:Andy_Kane__u0028_footballer_u0029_	wd:Q4760874
dbr:Qatar_Airways	wd:Q208033
dbr:Together_We_Stand	wd:Q7813126
dbr:In_the_Meantime_u002C__Darling	wd:Q1984979
dbr:Bruce_Bennett	wd:Q955708
dbr:Ed_Begley	wd:Q318312
dbr:Keep_the_Car_Running	wd:Q2198586
dbr:BBV_Hagen	wd:Q831254
dbr:Rutgers_University	wd:Q499451
dbr:Pick_Me_Up__u0028_Masters_of_Horror_u0029_	wd:Q2470008
dbr:Rose_Marie__u0028_1936_film_u0029_	wd:Q3522827
dbr:Saint_Joan__u0028_film_u0029_	wd:Q589555
dbr:Howzat__u0028_album_u0029_	wd:Q5922665
dbr:Donatella__u0028_film_u0029_	wd:Q3713689
dbr:A_u002E_C_u002E__Greene_u002C__Jr_u002E_	wd:Q4647056
dbr:Margin_Call__u0028_film_u0029_	wd:Q624614
dbr:No_Risk_u002C__No_Gain	wd:Q13653730
dbr:Robert_John_Burke	wd:Q935081
dbr:Kharkiv	wd:Q42308
dbr:Out_of_Time__u0028_Heroes_u0029_	wd:Q6054836
dbr:Red_Museum	wd:Q4239700
