dbr:Bye_Bye_Love__u0028_film_u0029_	wd:Q1018481
dbr:South_America	wd:Q18
dbr:Gustavo_Santaolalla	wd:Q312434
dbr:North_Holland	wd:Q701
dbr:The_Little_Prince__u0028_1974_film_u0029_	wd:Q1199280
dbr:The_Condemned_of_Altona__u0028_film_u0029_	wd:Q1406083
dbr:Abraham_Prescott	wd:Q4669134
dbr:Ministry_of_Civil_Aviation__u0028_India_u0029_	wd:Q6866659
dbr:Predrag_Markovi_u0107_	wd:Q581943
dbr:Columbia_Law_School	wd:Q1149089
dbr:Thaddeus_Young	wd:Q59547
dbr:The_Jethro_Tull_Christmas_Album	wd:Q2162881
dbr:Carsten_Klee	wd:Q1045590
dbr:Pope_John_Paul_II	wd:Q989
dbr:The_Six_Wives_of_Henry_Lefay	wd:Q3989320
dbr:Adolphe_Ferri_u00E8_re	wd:Q2484549
dbr:Andreas_Thom	wd:Q500940
dbr:Angel_in_Blue_Jeans	wd:Q17620559
dbr:Maureen_Stapleton	wd:Q230841
dbr:Transatlantic__u0028_1931_film_u0029_	wd:Q1672976
dbr:Ooh_La_La__u0028_Britney_Spears_song_u0029_	wd:Q13462665
dbr:Old_Wives_for_New	wd:Q3881532
dbr:Danbury_u002C__Connecticut	wd:Q49198
dbr:Central_District__u0028_Chenaran_County_u0029_	wd:Q5060770
dbr:Christopher_Plummer	wd:Q190523
dbr:Coffee__u0026__TV	wd:Q2484305
dbr:Male_and_Female	wd:Q1116550
dbr:Back_to_God_u0027_s_Country__u0028_1953_film_u0029_	wd:Q4839412
dbr:Toshiro_Mifune	wd:Q37001
dbr:H_u00E9_di_Annabi	wd:Q557373
dbr:The_Last_Mistress	wd:Q687227
dbr:Bob_Clampett	wd:Q670417
dbr:Leycester_Meares	wd:Q6537982
dbr:Small_Time_Crooks	wd:Q610163
dbr:Vijay_Antony	wd:Q7929087
dbr:In_the_Name_of_the_Italian_People	wd:Q318825
dbr:When_We_Was_Fab	wd:Q2078785
dbr:One_Direction	wd:Q146027
dbr:Joanna_Pacu_u0142_a	wd:Q265996
dbr:The_Lonely_Villa	wd:Q966923
dbr:Monsieur_Beaucaire__u0028_1946_film_u0029_	wd:Q3223786
dbr:Anjali_Devi	wd:Q4765733
dbr:Duluth_u002C__Minnesota	wd:Q485708
dbr:Michael_Manley	wd:Q365395
dbr:The_Big_Bang__u0028_Busta_Rhymes_album_u0029_	wd:Q1784260
dbr:Loudness__u0028_band_u0029_	wd:Q1130108
dbr:Desmond_Mason	wd:Q463317
dbr:A_Double_Dose_of_Soul	wd:Q4656563
dbr:Drag_City__u0028_record_label_u0029_	wd:Q1254522
dbr:Boot_Hill__u0028_film_u0029_	wd:Q555722
dbr:Nikos_Foskolos	wd:Q3347270
dbr:Raimundo_Saporta_Pavilion	wd:Q7284429
dbr:Cowes	wd:Q587996
dbr:Nazi_Germany	wd:Q7318
dbr:J_u002E__George_Stewart	wd:Q258732
dbr:Revelation__u0028_Sansom_novel_u0029_	wd:Q1636948
dbr:Michelle_Remembers	wd:Q6837216
dbr:Eleanor_Parker	wd:Q237399
dbr:Kanye_West	wd:Q15935
dbr:Desert_Song	wd:Q5264020
dbr:Big_Machine_Records	wd:Q2902300
dbr:Biloxi_Blues__u0028_film_u0029_	wd:Q863335
dbr:Bill_Clinton	wd:Q1124
dbr:Vindictus	wd:Q541310
dbr:Black_Sweat	wd:Q4921983
dbr:Baffled_u0021_	wd:Q4841332
dbr:Vinyl_Confessions	wd:Q630914
dbr:Thrissur	wd:Q163798
dbr:Temporary_Secretary	wd:Q5651235
dbr:Saving_Face__u0028_2004_film_u0029_	wd:Q1470314
dbr:American_Philosophical_Society	wd:Q466089
dbr:Vettai	wd:Q7923787
dbr:Link__u0028_film_u0029_	wd:Q1473486
dbr:Due_cuori_u002C__una_cappella	wd:Q3715960
dbr:Golshifteh_Farahani	wd:Q464712
dbr:Poole	wd:Q203349
dbr:Kunal_Kohli	wd:Q628832
dbr:Rang_De_Basanti	wd:Q924135
dbr:Fantasy_Twin	wd:Q5434335
dbr:Rope_of_Sand	wd:Q3207812
dbr:Now_u002C__Voyager	wd:Q1346566
dbr:Phil_Myre	wd:Q3378820
dbr:Chalti_Ka_Naam_Gaadi	wd:Q1060259
dbr:Delhi	wd:Q1353
dbr:Dhaka	wd:Q1354
dbr:Decade_u003A___u0025_22_u002E__u002E__u002E_but_wait_it_gets_worse_u0025_22	wd:Q5248681
dbr:Just_Cause__u0028_film_u0029_	wd:Q1659511
dbr:Blank_Space	wd:Q18441355
dbr:Mahesh_u002C__Saranya_Matrum_Palar	wd:Q6733843
dbr:Amrish_Puri	wd:Q333443
dbr:Johnny_Was	wd:Q6267865
dbr:Jim_Brown_u003A__All_u002D_American	wd:Q3808313
dbr:It_u0027_s_a_Great_Life__u0028_1929_film_u0029_	wd:Q18636458
dbr:Travis_Green	wd:Q454430
dbr:Final_Fantasy_Legend_III	wd:Q1409043
dbr:Purple_People_Eater__u0028_film_u0029_	wd:Q3410974
dbr:Ameesha_Patel	wd:Q263819
dbr:The_Big_Fisherman	wd:Q3484515
dbr:How_We_Robbed_the_Bank_of_Italy	wd:Q3684192
dbr:Robert_Smith__u0028_musician_u0029_	wd:Q491252
dbr:The_Powerpuff_Girls	wd:Q1236206
dbr:The_Shrine__u0028_Stargate_Atlantis_u0029_	wd:Q7764056
dbr:The_Age_of_Doubt	wd:Q3819115
dbr:RSD_Alcal_u00E1_	wd:Q2420558
dbr:Ziegfeld_Girl__u0028_film_u0029_	wd:Q2082212
dbr:Super_Sidekicks	wd:Q839884
dbr:Arthur_Charles_Miller	wd:Q708870
dbr:A_Ticket_to_Tomahawk	wd:Q300589
dbr:The_Arnelo_Affair	wd:Q7714318
dbr:R_u002E_I_u002E_P_u002E_D_u002E_	wd:Q3012553
dbr:The_Beginning__u0028_The_Black_Eyed_Peas_album_u0029_	wd:Q836774
dbr:Yours_u002C__Mine__u0026__Ours__u0028_2005_film_u0029_	wd:Q1183268
dbr:Charles_Roven	wd:Q2740357
dbr:Brazilian_Navy	wd:Q1750688
dbr:North_Korea	wd:Q423
dbr:King_David__u0028_film_u0029_	wd:Q1420374
dbr:Solomon_Benedict_de_Worms	wd:Q18517277
dbr:INRI__u0028_Psyclon_Nine_album_u0029_	wd:Q3146764
dbr:Eddie_Phillips__u0028_musician_u0029_	wd:Q5336407
dbr:Iphigenia_in_Aulis	wd:Q1233770
dbr:John_Barrow__u0028_Canadian_football_u0029_	wd:Q6220884
dbr:Ludwik_Zabrocki	wd:Q4182766
dbr:The_Pretender__u0028_film_u0029_	wd:Q7758107
dbr:Derrick_Low	wd:Q3705891
dbr:Behind_the_Rising_Sun__u0028_film_u0029_	wd:Q2601541
dbr:Progressive_Conservative_Party_of_Canada	wd:Q1292617
dbr:Pain_Marznak	wd:Q5758216
dbr:Rocksmith	wd:Q248611
dbr:Apollon_Skalkowski	wd:Q4421529
dbr:May_Fools	wd:Q743498
dbr:Crazy_Beat	wd:Q84226
dbr:Neil_Jordan	wd:Q55428
dbr:William_Blum	wd:Q2142448
dbr:Biker_Like_an_Icon	wd:Q3649484
dbr:George_Dzundza	wd:Q164624
dbr:Nanking__u0028_2007_film_u0029_	wd:Q715335
dbr:Ace_in_the_Hole__u0028_1951_film_u0029_	wd:Q1545826
dbr:Beauty_and_a_Beat	wd:Q133755
dbr:Electra__u0028_1962_film_u0029_	wd:Q1326400
dbr:Programmer	wd:Q5482740
dbr:Gabriel_Gonz_u00E1_lez_Videla	wd:Q815
dbr:Mary_u002D_Louise_Parker	wd:Q229957
dbr:Truant__u0028_album_u0029_	wd:Q2308757
dbr:DNA__u0028_Empire_of_the_Sun_song_u0029_	wd:Q18150108
dbr:Side_Effects__u0028_2013_film_u0029_	wd:Q334763
dbr:Robert_L_u002E__Millet	wd:Q7346607
dbr:Journey_for_Margaret	wd:Q4353733
dbr:Harlesden_station	wd:Q800892
dbr:Beyond_a_Reasonable_Doubt__u0028_2009_film_u0029_	wd:Q1498248
dbr:Love_Like_This__u0028_Natasha_Bedingfield_song_u0029_	wd:Q773284
dbr:Bing_Crosby	wd:Q72984
dbr:Bela_Lugosi_Meets_a_Brooklyn_Gorilla	wd:Q4881779
dbr:The_Real_McCoys	wd:Q1488333
dbr:Hydra_Head_Records	wd:Q2718029
dbr:Mark_Cullen__u0028_English_footballer_u0029_	wd:Q747069
dbr:South_Cambridgeshire	wd:Q969203
dbr:Thomas_Jefferson	wd:Q11812
dbr:First_Family__u0028_film_u0029_	wd:Q1341058
dbr:William_P_u002E__Rogers	wd:Q433180
dbr:Karl_Marx	wd:Q9061
dbr:M_u00E1_irt_u00ED_n__u00D3__Muilleoir	wd:Q13586248
dbr:Anandam	wd:Q4751336
dbr:The_Country_Bears	wd:Q3234357
dbr:Alva_Noto	wd:Q683009
dbr:A_Place_to_Fall_Apart	wd:Q4658895
dbr:Encino_u002C__Los_Angeles	wd:Q1190590
dbr:Ajay_Devgan	wd:Q146929
dbr:Gare_de_Marseille_u002D_Saint_u002D_Charles	wd:Q371217
dbr:Gary_Cole	wd:Q315864
dbr:Kosovan_parliamentary_election_u002C__2007	wd:Q821029
dbr:Ry_u014D_tar_u014D__Shiba	wd:Q1087887
dbr:Guinea	wd:Q1006
dbr:Manish_Vatsalya	wd:Q6749899
dbr:Mashed	wd:Q3850787
dbr:University_of_Amsterdam	wd:Q214341
dbr:My_Wife__u0028_film_u0029_	wd:Q3823128
dbr:Cosmopterix_spiculata	wd:Q13498824
dbr:The_Dead_Zone__u0028_film_u0029_	wd:Q466792
dbr:Lament__u0028_Ultravox_song_u0029_	wd:Q6481740
dbr:Lazar_Koli_u0161_evski	wd:Q470687
dbr:Highlander_III_u003A__The_Sorcerer	wd:Q994209
dbr:Garenin	wd:Q5522772
dbr:Bad_Days	wd:Q4840260
dbr:Yet_Another_Movie	wd:Q961335
dbr:Tom_and_Jerry_Meet_Sherlock_Holmes	wd:Q2582903
dbr:Chicago__u0028_band_u0029_	wd:Q371938
dbr:SSX_Tricky	wd:Q2377020
dbr:Shakti_Kapoor	wd:Q312789
dbr:Ian_Paisley_u002C__Jr_u002E_	wd:Q575881
dbr:Papillon__u0028_film_u0029_	wd:Q596965
dbr:GooBall	wd:Q5582336
dbr:Walkaway_Lover	wd:Q7962165
dbr:Mr_u002E__Arkadin	wd:Q1877554
dbr:Karlslunde_station	wd:Q1992973
dbr:Roshan_Seth	wd:Q32452
dbr:Glenn_Ford	wd:Q212048
dbr:Chopping_Mall	wd:Q400261
dbr:P_u002E__L_u002E__Narayana	wd:Q7117396
dbr:GNU_Lesser_General_Public_License	wd:Q192897
dbr:Al_Smith__u0028_ice_hockey_u0029_	wd:Q4704828
dbr:Va_ska_man_ta_livet_av_sig_f_u00F6_r_n_u00E4_r_man__u00E4_nd_u00E5__inte_f_u00E5_r_h_u00F6_ra_snacket_efter_u00E5_t	wd:Q4357113
dbr:The_Personal_Touch	wd:Q7756763
dbr:Viva_Villa_u0021_	wd:Q1619412
dbr:Business_Before_Honesty	wd:Q5001680
dbr:Confidential_Agent	wd:Q954299
dbr:Someday_When_Things_Are_Good	wd:Q7559634
dbr:Bishop_Auckland_F_u002E_C_u002E_	wd:Q4917491
dbr:Kim_Norton	wd:Q6409232
dbr:Varsity_Show__u0028_film_u0029_	wd:Q3800996
dbr:Point_Break	wd:Q1146552
dbr:K_u002E__A_u002E__Applegate	wd:Q260730
dbr:Creepshow_2	wd:Q1139518
dbr:Otar_Iosseliani	wd:Q321365
dbr:Take_Me_Out_to_the_Ball_Game__u0028_film_u0029_	wd:Q2530954
dbr:Willie_Nelson	wd:Q206112
dbr:So_Says_I	wd:Q7549497
dbr:Groningen	wd:Q749
dbr:Donald_O_u0027_Connor	wd:Q348345
dbr:Thevar_Magan	wd:Q3536743
dbr:As_You_Like_It__u0028_1936_film_u0029_	wd:Q2707658
dbr:Il_demonio	wd:Q3793737
dbr:Bob_Johnston	wd:Q888022
dbr:Topper_Takes_a_Trip	wd:Q690783
dbr:3_Geezers_u0021_	wd:Q5530010
dbr:Magnificent_Obsession__u0028_1954_film_u0029_	wd:Q1219923
dbr:Raw_Deal__u0028_1948_film_u0029_	wd:Q844732
dbr:Yathra	wd:Q8050230
dbr:Otto_Preminger	wd:Q52997
dbr:Make_u002D_up_artist	wd:Q935666
dbr:The_Woman_in_the_Window	wd:Q1498122
dbr:After_Tonight	wd:Q4690581
dbr:Cheshmeh_Ziarat_Rural_District	wd:Q14725288
dbr:Mohawk__u0028_film_u0029_	wd:Q6893750
dbr:There_u0027_s_Something_About_Mary	wd:Q177374
dbr:Rudolf_Forster	wd:Q87200
dbr:Divya_Dutta	wd:Q467964
dbr:Keni_Burke	wd:Q6389203
dbr:How_I_Discovered_America	wd:Q3684164
dbr:This_Year_u0027_s_Love__u0028_song_u0029_	wd:Q7786412
dbr:A_Question_of_Honour	wd:Q1306328
dbr:Francis_Cabot_Lowell__u0028_businessman_u0029_	wd:Q2074392
dbr:Witness__u0028_1985_film_u0029_	wd:Q488041
dbr:Margery_Allingham	wd:Q266205
dbr:Emphasizer	wd:Q5373975
dbr:Man_u0027_s_Castle	wd:Q114415
dbr:Mick_Scott	wd:Q17017912
dbr:My_Own_Peculiar_Way	wd:Q6946228
dbr:Kamal_Chub_Sar	wd:Q5798670
dbr:My_Fair_Lady__u0028_film_u0029_	wd:Q201215
dbr:Roman_Savchenko	wd:Q919053
dbr:Mr_u002E__Deeds_Goes_to_Town	wd:Q475529
dbr:Prince_Friso_of_Orange_u002D_Nassau	wd:Q352981
dbr:Pete_Williams__u0028_basketball_u0029_	wd:Q3900808
dbr:Koodevide	wd:Q3530100
dbr:Evgeni_Blokhin	wd:Q472014
dbr:The_High_Sign	wd:Q3991739
dbr:The_Family_Way	wd:Q7733339
dbr:Rattlesnake__u0028_song_u0029_	wd:Q7295986
dbr:Time_Capsule__u0028_Elvin_Jones_album_u0029_	wd:Q7804946
dbr:Macao__u0028_film_u0029_	wd:Q1100979
dbr:Selma_Blair	wd:Q264748
dbr:Vendetta__u0028_Star_Trek_u0029_	wd:Q7919602
dbr:Live_from_Paisley_Park	wd:Q6657314
dbr:Mike_Starr__u0028_actor_u0029_	wd:Q1373450
dbr:Rastislav_Sta_u0148_a	wd:Q717443
dbr:Charles_Berglund	wd:Q448796
dbr:Curitiba	wd:Q4361
dbr:Holiday_for_Lovers	wd:Q4007156
dbr:Hellboy_II_u003A__The_Golden_Army	wd:Q651196
dbr:Go_to_Blazes__u0028_1942_film_u0029_	wd:Q5575039
dbr:Onegin__u0028_film_u0029_	wd:Q50969
dbr:Stelvio_Cipriani	wd:Q921058
dbr:Case_39	wd:Q1164919
dbr:Alexander_Vasilyevich_Belyakov	wd:Q434643
dbr:Queen_u0027_s_Park_F_u002E_C_u002E_	wd:Q852753
dbr:Tom_Brown_u0027_s_School_Days	wd:Q7815084
dbr:Lekhwiya_SC	wd:Q1056948
dbr:Dance_Dance_Revolution_Hottest_Party	wd:Q5215085
dbr:Whataya_Want_from_Me	wd:Q600434
dbr:Takers	wd:Q727285
dbr:End_of_Days__u0028_film_u0029_	wd:Q849656
dbr:Halka__u0028_song_u0029_	wd:Q5642506
dbr:The_Monkey_u0027_s_Mask	wd:Q1712162
dbr:H_u002E__Garland_Dupr_u00E9_	wd:Q1562581
dbr:In_Harm_u0027_s_Way	wd:Q1362240
dbr:Ryan_Bayda	wd:Q1489739
dbr:Interpol__u0028_band_u0029_	wd:Q331790
dbr:Yandex	wd:Q5281
dbr:David_Guetta	wd:Q8298
dbr:Los_Angeles_County_u002C__California	wd:Q104994
dbr:Eve_Arden	wd:Q255630
dbr:Fellini_u003A__I_u0027_m_a_Born_Liar	wd:Q3068188
dbr:Jack_Thwaites	wd:Q6115484
dbr:La_Cucaracha__u0028_1934_film_u0029_	wd:Q1798755
dbr:Thirst__u0028_2009_film_u0029_	wd:Q483780
dbr:Sidekicks__u0028_1992_film_u0029_	wd:Q1360398
dbr:Bandish__u0028_film_u0029_	wd:Q4854616
dbr:Reinkaos	wd:Q2566800
dbr:The_Annual_World_u0027_s_Best_SF	wd:Q7713874
dbr:Midnight_Sun__u0028_2014_film_u0029_	wd:Q17047425
dbr:Keystone_Bop_u003A__Sunday_Night	wd:Q6398447
dbr:Arnon_Milchan	wd:Q697131
dbr:Microsoft_Studios	wd:Q73801
dbr:Intelligent_Systems	wd:Q150001
dbr:The_Rolling_Stones	wd:Q11036
dbr:God_Bless_the_Child__u0028_Shania_Twain_song_u0029_	wd:Q7885532
dbr:Cledus_Envy	wd:Q5131043
dbr:Same_Old_Tunes	wd:Q2493568
dbr:Shuri_u002C__Okinawa	wd:Q608415
dbr:Torrance_u002C__California	wd:Q489197
dbr:Folly_to_Be_Wise	wd:Q5464828
dbr:Ching_u002D_chih_Chen	wd:Q5100978
dbr:Wayne_Ellington	wd:Q573036
dbr:Longtime_Companion	wd:Q594420
dbr:H_u002E__G_u002E__Wells	wd:Q42511
dbr:Lancia	wd:Q35896
dbr:The_Remix_Album__u0028_All_Saints_album_u0029_	wd:Q3625027
dbr:Jerry_Lewis	wd:Q294927
dbr:Jan_Lundell	wd:Q534313
dbr:Kiar_County	wd:Q2610763
dbr:Mi_u002C__Shandong	wd:Q14802352
dbr:Danny_Elfman	wd:Q193338
dbr:Hamilton_O_u002E__Smith	wd:Q108896
dbr:St_Michael_u0027_s_Church_u002C__Cowthorpe	wd:Q7594758
dbr:Championship_Manager	wd:Q1083317
dbr:Thank_You_u002C__Mr_u002E__Moto__u0028_film_u0029_	wd:Q1951429
dbr:Samoa	wd:Q683
dbr:Disney_Interactive_Studios	wd:Q1229035
dbr:Hell_Money	wd:Q5706634
dbr:Venice	wd:Q641
dbr:Planet_Rock__u0028_song_u0029_	wd:Q3391429
dbr:Prehistoric_Ice_Man	wd:Q898217
dbr:Precious_Time__u0028_Van_Morrison_song_u0029_	wd:Q7239472
dbr:Danuel_Pipoly	wd:Q4363227
dbr:Matilda__u0028_1996_film_u0029_	wd:Q280400
dbr:Paul_Blart_u003A__Mall_Cop_2	wd:Q17042694
dbr:Richard_Duffy	wd:Q642981
dbr:Smilla_u0027_s_Sense_of_Snow__u0028_film_u0029_	wd:Q643847
dbr:Jennifer_Connelly	wd:Q103343
dbr:The_Thorn_Birds__u0028_miniseries_u0029_	wd:Q9262969
dbr:Panama_City	wd:Q3306
dbr:City_Crisis	wd:Q5123146
dbr:_u0027_71__u0028_film_u0029_	wd:Q12100227
dbr:The_Relic__u0028_film_u0029_	wd:Q1170168
dbr:The_Desert_of_the_Tartars	wd:Q645770
dbr:John_Risman	wd:Q6254995
dbr:Brad_Krevoy	wd:Q4954064
dbr:My_Dear_Muthachan	wd:Q6945252
dbr:Mesa_Air_Group	wd:Q1922290
dbr:Kerala_House_Udan_Vilpanakku	wd:Q6393354
dbr:Henri_Deca_u00EB_	wd:Q1605811
dbr:FC_Vaslui	wd:Q453925
dbr:Piriyadha_Varam_Vendum	wd:Q7198018
dbr:Alice_in_Wonderland__u0028_2010_film_u0029_	wd:Q174385
dbr:Scott_Fredrickson	wd:Q7436363
dbr:Zl_u00ED_n_District	wd:Q262111
dbr:Les_Mis_u00E9_rables__u0028_1948_film_u0029_	wd:Q3233878
dbr:Molot_u002D_Prikamye_Perm	wd:Q304687
dbr:Educational_game	wd:Q1140363
dbr:Three_Days_Grace	wd:Q486825
dbr:Leslie_Cheung	wd:Q313596
dbr:Lady_Oscar__u0028_film_u0029_	wd:Q2667089
dbr:Captains_Courageous__u0028_1937_film_u0029_	wd:Q241876
dbr:Taste_of_Cherry	wd:Q794178
dbr:Mercedes_u002D_Benz_E_u002D_Class__u0028_W210_u0029_	wd:Q977429
dbr:Kizuna__u0028_Aya_Ueto_song_u0029_	wd:Q3020035
dbr:The_Renegade_Ranger	wd:Q1127992
dbr:Don_Kirshner	wd:Q1239246
dbr:Game_Change__u0028_film_u0029_	wd:Q655980
dbr:The_White_Stripes	wd:Q268160
dbr:Campiglossa	wd:Q5028372
dbr:Merton_College_u002C__Oxford	wd:Q82513
dbr:S_u00F6_derhamn_Municipality	wd:Q145835
dbr:Se_non_avessi_pi_u00F9__te	wd:Q3953482
dbr:Magic__u0028_1978_film_u0029_	wd:Q910887
dbr:Panionios_F_u002E_C_u002E_	wd:Q460494
dbr:Mohamed_Yattara	wd:Q60609
dbr:Werner_Herzog	wd:Q44131
dbr:University_of_Mainz	wd:Q161982
dbr:Soul_Sound	wd:Q2544075
dbr:Dreamscape__u0028_1984_film_u0029_	wd:Q1256261
dbr:Midnight_Club_II	wd:Q2314853
dbr:Iron__u0026__Wine	wd:Q361881
dbr:Set_the_Fire	wd:Q7456304
dbr:Rod_Stewart	wd:Q182655
dbr:The_Lady_Killer__u0028_film_u0029_	wd:Q5682085
dbr:Victor_Oehrn	wd:Q95489
dbr:The_Akhenaten_Adventure	wd:Q7712952
dbr:The_Great_Mouse_Detective	wd:Q334132
dbr:Monte_Carlo__u0028_2011_film_u0029_	wd:Q550248
dbr:Limpopo_River	wd:Q173017
dbr:England_national_under_u002D_20_football_team	wd:Q1049176
dbr:The_Hobbit_u003A__The_Battle_of_the_Five_Armies	wd:Q919649
dbr:This_Crazy_Love	wd:Q7785663
dbr:Aleksei_Volkov__u0028_ice_hockey_u0029_	wd:Q448680
dbr:Rubus	wd:Q602740
dbr:Spikee	wd:Q7577231
dbr:The_Green_Scarf	wd:Q7738204
dbr:Richard_Yates__u0028_novelist_u0029_	wd:Q544611
dbr:Scott_Kalvert	wd:Q16019723
dbr:Dennis_O_u0027_Keefe	wd:Q1189404
dbr:Charles_Bennett__u0028_screenwriter_u0029_	wd:Q329009
dbr:Man_of_Steel__u0028_film_u0029_	wd:Q622769
dbr:John_Bythesea	wd:Q6224246
dbr:Come_with_Us_u002F_The_Test	wd:Q2065733
dbr:Progressive_Conservative_Party_of_Ontario	wd:Q826977
dbr:The_Return_of_the_Soldier__u0028_film_u0029_	wd:Q3283587
dbr:Halls_of_Montezuma__u0028_film_u0029_	wd:Q1518762
dbr:Newburyport_u002C__Massachusetts	wd:Q54134
dbr:The_Thin_Pink_Line	wd:Q2003678
dbr:Andy_Ogle	wd:Q4761111
dbr:Keli__u0028_film_u0029_	wd:Q6385597
dbr:Alabama_Agricultural_and_Mechanical_University	wd:Q1551044
dbr:Just_Go__u0028_Staind_song_u0029_	wd:Q6316023
dbr:East_West_Records	wd:Q2576206
dbr:Rabhasa	wd:Q16254989
dbr:Theirs_Is_the_Glory	wd:Q2937631
dbr:J_u002E__Michael_Straczynski	wd:Q126941
dbr:Indraprastham__u0028_film_u0029_	wd:Q13110425
dbr:Andrei_Taratukhin	wd:Q129190
dbr:On_the_Turning_Away	wd:Q2282607
dbr:Crowded_House	wd:Q1128045
dbr:Linda_Darnell	wd:Q234900
dbr:Pattikada_Pattanama	wd:Q7148575
dbr:Neon_Genesis_Evangelion_u003A__Girlfriend_of_Steel_2nd	wd:Q2451413
dbr:Deliverance	wd:Q814778
dbr:Symphony_2000	wd:Q7661465
dbr:Ava_Gardner	wd:Q164487
dbr:The_Glimmer_Man	wd:Q539545
dbr:Robert_Fricke	wd:Q91664
dbr:Yousuf_Saleh_Alyan	wd:Q8059124
dbr:A_Few_Good_Men	wd:Q108946
dbr:Hotel_Rats	wd:Q22968811
dbr:Robert_Bassler	wd:Q1431010
dbr:Blue_Seduction	wd:Q17991765
dbr:Arul	wd:Q2866020
dbr:Trouble_in_the_Glen	wd:Q7846468
dbr:The_World_According_to_Garp__u0028_film_u0029_	wd:Q994248
dbr:Shashi_Kapoor	wd:Q379171
dbr:Camp_Cuddly_Pines_Powertool_Massacre	wd:Q1029789
dbr:Les_Baxter	wd:Q1820469
dbr:Weeping_Wall__u0028_instrumental_u0029_	wd:Q7979586
dbr:The_Other_Side_of_the_Bed	wd:Q2520370
dbr:The_Trawlerman_u0027_s_Song	wd:Q130287
dbr:Lily_Tomlin	wd:Q229271
dbr:Cuba_Crossing	wd:Q5191945
dbr:Under_the_Weather	wd:Q4004589
dbr:Song_for_the_Lonely	wd:Q839239
dbr:National_Velvet__u0028_TV_series_u0029_	wd:Q3794520
dbr:Mean__u0028_song_u0029_	wd:Q2303661
dbr:Prisoner_of_Rio	wd:Q7245820
dbr:Alexander_Andreyevich_Svechin	wd:Q547006
dbr:Basketball__u0028_The_Office_u0029_	wd:Q4867642
dbr:Jai_Shiv_Shankar	wd:Q6123464
dbr:H_u00F6_hingen_Castle	wd:Q768959
dbr:Kinki_Sharyo	wd:Q1592306
dbr:The_Merry_Widow__u0028_1925_film_u0029_	wd:Q654439
dbr:Sundown__u0028_Lost_u0029_	wd:Q630763
dbr:Behshahr_County	wd:Q1282178
dbr:Burn_u0021_	wd:Q2054677
dbr:Lateralus	wd:Q368280
dbr:The_Happy_Prince__u0028_film_u0029_	wd:Q1390000
dbr:This_Boy	wd:Q2075600
dbr:John_Pedder	wd:Q6252406
dbr:Kurbaan__u0028_1991_film_u0029_	wd:Q1792965
dbr:Firefox__u0028_film_u0029_	wd:Q1418932
dbr:My_Sister_Eileen__u0028_1942_film_u0029_	wd:Q1580904
dbr:John_Bentley__u0028_rugby_u0029_	wd:Q3181040
dbr:One_Fine_Day__u0028_film_u0029_	wd:Q743487
dbr:University_of_T_u00FC_bingen	wd:Q153978
dbr:Sean_Paul	wd:Q200577
dbr:At_Point_Blank__u0028_TV_series_u0029_	wd:Q4812398
dbr:Italian_Americans	wd:Q974693
dbr:Roger_Spottiswoode	wd:Q506352
dbr:The_Complete_Studio_Recordings__u0028_ABBA_album_u0029_	wd:Q1990361
dbr:The_Love_Machine__u0028_film_u0029_	wd:Q7748941
dbr:Jumping_for_Joy	wd:Q6311308
dbr:Return_Engagement__u0028_1990_film_u0029_	wd:Q1676737
dbr:Mandarin_Chinese	wd:Q9192
dbr:Jon_M_u002E__Chu	wd:Q1702754
dbr:World_at_Your_Feet	wd:Q5935770
dbr:Public_Life_with_Randy_David	wd:Q7257460
dbr:Paul_Bettany	wd:Q242707
dbr:Alexander_Bazhbeuk_u002D_Melikyan	wd:Q4075091
dbr:Sivaji_Ganesan	wd:Q1395425
dbr:Sethurama_Iyer_CBI	wd:Q7456672
dbr:Ringside_Maisie	wd:Q7334986
dbr:Fit_for_a_King	wd:Q5455399
dbr:She_Hate_Me	wd:Q519592
dbr:The_Last_Temptation_of_Christ__u0028_film_u0029_	wd:Q646031
dbr:I_u0027_ll_Still_Kill	wd:Q2703463
dbr:Kensal_Green_Cemetery	wd:Q1574424
dbr:State_buoni_se_potete	wd:Q672656
dbr:Happiness__u0028_The_Beloved_album_u0029_	wd:Q3783260
dbr:I_Dreamed_of_Africa	wd:Q1448253
dbr:Paul_Mantee	wd:Q3956755
dbr:Antonio_Aguilar	wd:Q1958523
dbr:Necesito_de_Ti	wd:Q6985398
dbr:L_u0027_Avventura	wd:Q514531
dbr:New_Religion__u0028_song_u0029_	wd:Q7011153
dbr:Majunu	wd:Q3537023
dbr:Siemomys_u0142_	wd:Q161831
dbr:Seeing_the_World	wd:Q3954222
dbr:W_u002E__C_u002E__Fields	wd:Q352971
dbr:Thilakan	wd:Q3520698
dbr:East_Germany_national_under_u002D_21_football_team	wd:Q323815
dbr:Anja_Breien	wd:Q1779128
dbr:Catfish_Rising	wd:Q1898772
dbr:Sick_and_Twisted_Affair	wd:Q7507609
dbr:Oleg_Antonenko	wd:Q941690
dbr:Pink_String_and_Sealing_Wax	wd:Q7196106
dbr:Gail_Patrick	wd:Q289991
dbr:Cowboys_from_Hell__u0028_song_u0029_	wd:Q2260269
dbr:Arad_u002C__Romania	wd:Q173591
dbr:Peter_Greenaway	wd:Q55282
dbr:Meenaxi_u003A__A_Tale_of_Three_Cities	wd:Q15982471
