dbr:Ron_Howard	wd:Q103646
dbr:Fran_u00E7_ois_Leroux	wd:Q3085172
dbr:Satya__u0028_film_u0029_	wd:Q7426859
dbr:Alfred_Dennis_Sieminski	wd:Q2644845
dbr:Married_to_the_Mob	wd:Q48984
dbr:University_of_Melbourne	wd:Q319078
dbr:Un_u002D_American_Graffiti	wd:Q18040200
dbr:Allandale_u002C__U_u002E_S_u002E__Virgin_Islands	wd:Q4731080
dbr:Muppet_Treasure_Island	wd:Q1788520
dbr:Art_museum	wd:Q207694
dbr:Domino__u0028_Domino_album_u0029_	wd:Q5291201
dbr:Jim_O_u0027_Neill_u002C__Baron_O_u0027_Neill_of_Gatley	wd:Q1689184
dbr:Smile_for_the_Camera	wd:Q12127545
dbr:Rex_Allen	wd:Q1374215
dbr:Rhona_Mitra	wd:Q230504
dbr:Kushi__u0028_2000_film_u0029_	wd:Q6447925
dbr:Extreme__u0028_band_u0029_	wd:Q682710
dbr:Maximilian_Schell	wd:Q153018
dbr:Sweet_Refrain	wd:Q15106647
dbr:Love_Love_Love__u0028_Linda_Chung_album_u0029_	wd:Q6691010
dbr:Kay_Whitmore	wd:Q6379937
dbr:Himmelfahrt	wd:Q1935380
dbr:The_Tom_and_Jerry_Comedy_Show	wd:Q2342787
dbr:Less_Than_Zero__u0028_film_u0029_	wd:Q403830
dbr:Candy_Shop	wd:Q2447506
dbr:Hamburg	wd:Q1055
dbr:Freiburg_im_Breisgau	wd:Q2833
dbr:Damien_Pottinger	wd:Q5212500
dbr:Mack_Gordon	wd:Q743189
dbr:Ahmad_Hasan_Dani	wd:Q4695333
dbr:Maria_Sachs	wd:Q14946796
dbr:Rajendra_Prasad__u0028_actor_u0029_	wd:Q5516315
dbr:Charlie_u0027_s_Angels_u003A__Full_Throttle	wd:Q229603
dbr:Justino_Victoriano	wd:Q3190551
dbr:Full_Metal_Daemon_u003A__Muramasa	wd:Q5227007
dbr:United_Methodist_Church	wd:Q329646
dbr:Ulrich_Kessler	wd:Q121836
dbr:Harcourt__u0028_publisher_u0029_	wd:Q5654997
dbr:Abalak	wd:Q305203
dbr:Wilhelm_Bungert	wd:Q77579
dbr:Bill_Paxton	wd:Q110374
dbr:R_u002E__G_u002E__Springsteen	wd:Q441985
dbr:CFL_on_CTV	wd:Q5010693
dbr:Let_u0027_s_Hope_It_u0027_s_a_Girl	wd:Q1225121
dbr:The_Land_Before_Time__u0028_TV_series_u0029_	wd:Q1066743
dbr:Tsunkatse	wd:Q7850228
dbr:Charles_Pritchard	wd:Q2626475
dbr:I_Surrender__u0028_David_Sylvian_song_u0029_	wd:Q5979084
dbr:The_Graceful_Ghost	wd:Q7737426
dbr:Farewell__u0028_Bob_Dylan_song_u0029_	wd:Q5435000
dbr:Forever_and_for_Always	wd:Q3077208
dbr:Alive__u0028_1993_film_u0029_	wd:Q332798
dbr:Si_u00E2_n_Phillips	wd:Q237778
dbr:The_Handmaid_u0027_s_Tale__u0028_film_u0029_	wd:Q569189
dbr:Tate_Donovan	wd:Q302650
dbr:Michael_Paine	wd:Q6833338
dbr:Bridge_of_Sighs__u0028_album_u0029_	wd:Q4966447
dbr:Grey_Gardens__u0028_2009_film_u0029_	wd:Q2271049
dbr:Claire_Forlani	wd:Q40228
dbr:Cheap_Trick	wd:Q1068713
dbr:Vladim_u00ED_r_Me_u010D_iar	wd:Q316526
dbr:Shake_It_Off__u0028_Taylor_Swift_song_u0029_	wd:Q17544624
dbr:Clothes_Make_the_Man__u0028_1940_film_u0029_	wd:Q1516584
dbr:K_u00E4_the_von_Nagy	wd:Q444516
dbr:NBA_Ballers_u003A__Chosen_One	wd:Q16258958
dbr:Henry_Augustus_Pilsbry	wd:Q1606467
dbr:Abu_Hbeilat	wd:Q17400320
dbr:R_u002E_E_u002E_M_u002E_	wd:Q134969
dbr:Rap_Life	wd:Q7293800
dbr:Du__u0028_Cro_song_u0029_	wd:Q1262311
dbr:Have_a_Nice_Day__u0028_Bon_Jovi_album_u0029_	wd:Q827334
dbr:Nightmare__u0028_song_u0029_	wd:Q1156134
dbr:The_Land_Before_Time_VII_u003A__The_Stone_of_Cold_Fire	wd:Q2550105
dbr:Prakash_Raj	wd:Q1322453
dbr:Cosi_Fan_Tutti	wd:Q5173918
dbr:Aniyathipraavu	wd:Q4764442
dbr:The_Arrows_of_Hercules	wd:Q7714340
dbr:Final__u0028_film_u0029_	wd:Q5449349
dbr:Tragic_Hero__u0028_film_u0029_	wd:Q7832639
dbr:Anthony_Quinn	wd:Q83484
dbr:Kept_Husbands	wd:Q3814726
dbr:The_Vampire_of_D_u00FC_sseldorf	wd:Q3228011
dbr:The_Masks	wd:Q2626472
dbr:Herbert_Ward__u0028_footballer_u0029_	wd:Q5735838
dbr:Cannibal_Apocalypse	wd:Q737076
dbr:Promises__u0028_Def_Leppard_song_u0029_	wd:Q7249816
dbr:Loser_Takes_All__u0028_film_u0029_	wd:Q6683572
dbr:Wiiija	wd:Q3568013
dbr:Thriller_25	wd:Q745960
dbr:Her_Harem	wd:Q3819142
dbr:Giovanni_Falcone	wd:Q207073
dbr:Eric_Roberts	wd:Q207969
dbr:Dream_of_Love	wd:Q1256171
dbr:One_for_the_Angels	wd:Q7093475
dbr:Pops_u002C__We_Love_You__u0028_A_Tribute_to_Father_u0029_	wd:Q7229594
dbr:Shipbuilding__u0028_song_u0029_	wd:Q7497987
dbr:Sisindri	wd:Q7530819
dbr:Eple	wd:Q5383769
dbr:Nik_u0161_i_u0107_	wd:Q200733
dbr:Pamela_Reed	wd:Q271763
dbr:Indonesian_language	wd:Q9240
dbr:Marginal__u0028_album_u0029_	wd:Q6760403
dbr:Kandadji_Dam	wd:Q6361166
dbr:It_u0027_s_Too_Late_to_Love_Me_Now	wd:Q6090855
dbr:Road_to_Zion	wd:Q2020548
dbr:Partir_u002C__revenir	wd:Q1544835
dbr:Orchestral_Manoeuvres_in_the_Dark	wd:Q956500
dbr:_u00C4_lmhult_Municipality	wd:Q254799
dbr:Final_Fantasy_Agito	wd:Q14926451
dbr:The_Encounter__u0028_Animorphs_u0029_	wd:Q7732027
dbr:Reflections__u0028_B_u002E_B_u002E__King_album_u0029_	wd:Q7307264
dbr:Drew_Gooden	wd:Q370006
dbr:The_Dubliners	wd:Q478629
dbr:Avicii	wd:Q505476
dbr:David_Buchanan__u0028_footballer_u002C__born_1962_u0029_	wd:Q16194457
dbr:Tango__u0026__Cash	wd:Q571197
dbr:Lost__u0028_TV_series_u0029_	wd:Q23567
dbr:Irma_la_Douce	wd:Q387370
dbr:The_Emperor__u0028_film_u0029_	wd:Q2411065
dbr:Scream_4	wd:Q323392
dbr:Paying_Guest	wd:Q2065341
dbr:Recreation__u0028_film_u0029_	wd:Q2445751
dbr:The_Abode_of_Life	wd:Q7712126
dbr:James_Coco	wd:Q769205
dbr:Artyom_Ternavsky	wd:Q713471
dbr:Hollow_Triumph	wd:Q3220245
dbr:Liverpool_F_u002E_C_u002E_	wd:Q1130849
dbr:Peter_Hewitt__u0028_director_u0029_	wd:Q713032
dbr:Heart_and_Soul__u0028_Kenny_G_album_u0029_	wd:Q5692163
dbr:Luigi_Magni	wd:Q53049
dbr:Lorenzo_Priuli	wd:Q1232902
dbr:Images__u0028_Ronnie_Milsap_album_u0029_	wd:Q6002350
dbr:What_Lies_Beneath	wd:Q570481
dbr:Kent_Eken	wd:Q6391708
dbr:Two_Happy_Hearts	wd:Q3715964
dbr:Sun_Ra	wd:Q354508
dbr:Work__u0028_Jars_of_Clay_song_u0029_	wd:Q8034546
dbr:The_End_of_the_World__u0028_The_Cure_song_u0029_	wd:Q2715133
dbr:Los_Angeles_Clippers	wd:Q976396
dbr:Unwind__u0028_novel_u0029_	wd:Q7897829
dbr:Intent_to_Kill	wd:Q6044419
dbr:Troy__u0028_film_u0029_	wd:Q186587
dbr:Spectacular__u0028_Graham_Coxon_song_u0029_	wd:Q7575101
dbr:Schuyler_Merritt	wd:Q1337761
dbr:Incredible__u0028_Keith_Murray_song_u0029_	wd:Q6015357
dbr:CBGB__u0028_film_u0029_	wd:Q2931018
dbr:ABBA_u003A__The_Movie	wd:Q1309886
dbr:Saviour__u0028_Lights_song_u0029_	wd:Q7428338
dbr:Ladder_49	wd:Q1386388
dbr:BE__u0028_Beady_Eye_album_u0029_	wd:Q10965815
dbr:Thrixspermum	wd:Q3238488
dbr:Timur_Shah_Durrani	wd:Q167283
dbr:The_General_Died_at_Dawn	wd:Q1193850
dbr:Madagascar_3_u003A__Europe_u0027_s_Most_Wanted	wd:Q244247
dbr:Aladdin__u0028_1992_Disney_film_u0029_	wd:Q215518
dbr:Felix_Hausdorff	wd:Q75856
dbr:The_Mortal_Instruments_u003A__City_of_Bones	wd:Q59346
dbr:X_u002D_Change_2	wd:Q8041432
dbr:Jeff_Bridges	wd:Q174843
dbr:France	wd:Q142
dbr:Parenthood__u0028_film_u0029_	wd:Q1137831
dbr:Bobbie_Gentry_and_Glen_Campbell	wd:Q4934635
dbr:Kochadaiiyaan	wd:Q6424778
dbr:In_Old_Chicago	wd:Q1619866
dbr:Another_You	wd:Q943494
dbr:Ron_Dayne	wd:Q7363689
dbr:Scooby_u002D_Doo_u0021__and_the_Witch_u0027_s_Ghost	wd:Q1702996
dbr:Vagdanam	wd:Q7908460
dbr:The_Congress_Dances__u0028_1955_film_u0029_	wd:Q1194914
dbr:Alec_Baldwin	wd:Q170572
dbr:Karma_Police	wd:Q1750699
dbr:Lena_Horne	wd:Q112307
dbr:1_u002C__2_Step	wd:Q161567
dbr:The_Lives_of_a_Bengal_Lancer__u0028_film_u0029_	wd:Q139258
dbr:Fatty_and_Mabel_at_the_San_Diego_Exposition	wd:Q5438012
dbr:Rudy_Ndey	wd:Q16233527
dbr:The_Child__u0028_Star_Trek_u003A__The_Next_Generation_u0029_	wd:Q3441905
dbr:Na__u0027_Hes_Kardia	wd:Q6956356
dbr:James_Gleason	wd:Q726398
dbr:Jong_Su_u002D_hyok	wd:Q1703409
dbr:Just_Visiting__u0028_film_u0029_	wd:Q285584
dbr:Apocalypse_Please	wd:Q2463319
dbr:Let_u0027_s_Go_u002C__Let_u0027_s_Go_u002C__Let_u0027_s_Go	wd:Q6532391
dbr:Grand_Theft_Auto_u003A__Liberty_City_Stories	wd:Q94778
dbr:Arch_Oboler	wd:Q632079
dbr:Escape_Velocity__u0028_song_u0029_	wd:Q2706795
dbr:Leipzig_University	wd:Q154804
dbr:Balandougouba_u002C__Mandiana	wd:Q4850018
dbr:Dursunbey	wd:Q1014114
dbr:Gustav_von_Seyffertitz	wd:Q73168
dbr:Angola	wd:Q916
dbr:Gounn	wd:Q15051523
dbr:The_Missing_Person	wd:Q3521894
dbr:William_Stewart__u0028_footballer_u002C__born_1876_u0029_	wd:Q20712614
dbr:Short_Cuts__u0028_film_u0029_	wd:Q605226
dbr:Asaphocrita_maximae	wd:Q15641226
dbr:Varzaqan_County	wd:Q946847
dbr:Jeanne_Kohl_u002D_Welles	wd:Q6172130
dbr:Normal_Young_Man	wd:Q3794242
dbr:College_of_William__u0026__Mary	wd:Q875637
dbr:Kansas_City_u002C__Kansas	wd:Q486472
dbr:The_Comedians__u0028_1967_film_u0029_	wd:Q568696
dbr:Chicago_XI	wd:Q2963333
dbr:Smilin_u0027__Through__u0028_1922_film_u0029_	wd:Q3963015
dbr:The_Punch_Bowl__u0028_album_u0029_	wd:Q7758739
dbr:Ross_Hunter	wd:Q2754518
dbr:The_Natural__u0028_film_u0029_	wd:Q1197684
dbr:James_Franciscus	wd:Q955219
dbr:Five_Million_Look_for_an_Heir	wd:Q1481667
dbr:The_Faithful_Spy	wd:Q7733150
dbr:Dana_Ashbrook	wd:Q552424
dbr:Holger_Czukay	wd:Q699355
dbr:ASCII_Corporation	wd:Q297303
dbr:Census_u002D_designated_place	wd:Q498162
dbr:William_Montgomery_Churchwell	wd:Q2580044
dbr:Hoboken_u002C__New_Jersey	wd:Q138578
dbr:Mr_u002E__Mom	wd:Q1373570
dbr:Looney_Tunes_Golden_Collection_u003A__Volume_4	wd:Q6675680
dbr:Where_Silence_Has_Lease	wd:Q3275179
dbr:Iqbal__u0028_film_u0029_	wd:Q3429888
dbr:Michael_Baume	wd:Q6828506
dbr:Strange_Frame	wd:Q7621387
dbr:Carlton_u002D_Browne_of_the_F_u002E_O_u002E_	wd:Q2939530
dbr:Aleksandrs__u0145_i_u017E_ivijs	wd:Q1115173
dbr:Selbstportrait	wd:Q7447533
dbr:Maurice_Harkless	wd:Q29336
dbr:Bad_Family__u0028_film_u0029_	wd:Q4840281
dbr:Little_House_on_the_Prairie__u0028_musical_u0029_	wd:Q6650366
dbr:Autobiography	wd:Q4184
dbr:Enosis_Neon_Paralimni_FC	wd:Q959341
dbr:Philip_Giraldi	wd:Q7183615
dbr:Legal__u0028_Special_Ed_album_u0029_	wd:Q6517348
dbr:Talk_About_a_Stranger	wd:Q7679638
dbr:Jeanie_MacPherson	wd:Q452602
dbr:The_Green_Glove	wd:Q1198532
dbr:Ted__u0028_Buffy_the_Vampire_Slayer_u0029_	wd:Q3030462
dbr:Erle_C_u002E__Kenton	wd:Q219499
dbr:Lay_It_Down__u0028_Lloyd_song_u0029_	wd:Q3828169
dbr:Saturday_the_14th	wd:Q7426760
dbr:Tynaarlo	wd:Q840457
dbr:Gun_Shy__u0028_film_u0029_	wd:Q636038
dbr:Cryin_u0027__Again	wd:Q5190454
dbr:Sin_Yong_u002D_nam	wd:Q1509003
dbr:The_Emperor_u0027_s_New_Groove	wd:Q223163
dbr:Vibrate__u0028_album_u0029_	wd:Q4011057
dbr:Boulting_brothers	wd:Q3181105
dbr:I_u0027_m_the_Slime	wd:Q3146426
dbr:Princess_Adelaide_of_Schleswig_u002D_Holstein_u002D_Sonderburg_u002D_Gl_u00FC_cksburg	wd:Q2082765
dbr:Happy_Time__u0028_Junior_Mance_album_u0029_	wd:Q5653070
dbr:Socialist_Party__u0028_France_u0029_	wd:Q170972
dbr:Saad_Al_Sheeb	wd:Q3944165
dbr:Space_Marauder	wd:Q7572413
dbr:Carry_On_Columbus	wd:Q204414
dbr:Alexander_Gruszynski	wd:Q1772301
dbr:V_u00E4_rnamo_Municipality	wd:Q280562
dbr:Orane_Simpson	wd:Q3884322
dbr:Lance_L_u002E__Smith	wd:Q1726944
dbr:Silent_Weapons_for_Quiet_Wars	wd:Q7514718
dbr:Nassau_u002C__Bahamas	wd:Q2467
dbr:Contigo_Quiero_Estar	wd:Q3245114
dbr:Stylo__u0028_song_u0029_	wd:Q2717279
dbr:Daisies_of_the_Galaxy	wd:Q3012173
dbr:Pistol_Whipped	wd:Q1181317
dbr:Ray_Wise	wd:Q530646
dbr:The_Magic_Number	wd:Q7749455
dbr:Winton_Hoch	wd:Q373115
dbr:Behind_the_Candelabra	wd:Q2893887
dbr:Kiry_u016B__u002C__Gunma	wd:Q634022
dbr:Lloro_Por_Ti	wd:Q1773206
dbr:Hotel_Noir	wd:Q16642398
dbr:Alexander_Seluyanov	wd:Q943890
dbr:Whoa_u002C__Nelly_u0021_	wd:Q731186
dbr:The_World_Changes	wd:Q7775951
dbr:Illarikam	wd:Q5998785
dbr:Dance_Hall__u0028_1950_film_u0029_	wd:Q5215131
dbr:Easton_u002C__Pennsylvania	wd:Q1056542
dbr:Adina_Howard	wd:Q357327
dbr:Pearl_of_the_South_Pacific	wd:Q3234526
dbr:Anchors_Aweigh__u0028_film_u0029_	wd:Q542988
dbr:The_Oscar__u0028_film_u0029_	wd:Q426293
dbr:F_u00E5_gelfors	wd:Q2508641
dbr:Edgar_Buchanan	wd:Q950397
dbr:Pierre_Larquey	wd:Q3385796
dbr:The_Essential_Gandhi	wd:Q7732470
dbr:Make_Me_Better	wd:Q6739010
dbr:Baby_the_Rain_Must_Fall	wd:Q3227198
dbr:There__u0026__Back__u0028_Jeff_Beck_album_u0029_	wd:Q3496428
dbr:First_Date__u0028_50_Cent_song_u0029_	wd:Q4038778
dbr:Smilin_u0027__Through__u0028_1941_film_u0029_	wd:Q747091
dbr:The_Andy_Dick_Show	wd:Q3616536
dbr:Kevin_Michael_Richardson	wd:Q488335
dbr:Blake_Edwards	wd:Q56093
dbr:The_Wild	wd:Q757250
dbr:Township__u0028_New_Jersey_u0029_	wd:Q7830213
dbr:X_u003A__The_Man_with_the_X_u002D_ray_Eyes	wd:Q1195642
dbr:Arlington_u002C__Texas	wd:Q17943
dbr:Nambaryn_Enkhbayar	wd:Q54820
dbr:Don_u0027_t_Waste_the_Pretty	wd:Q3713478
dbr:The_Devil_u0027_s_Own	wd:Q521094
dbr:List_of_districts_of_Yemen	wd:Q6617100
dbr:Eternal_Lands	wd:Q3087714
dbr:Darius_Morris	wd:Q666812
dbr:Higher_Learning	wd:Q1617908
dbr:Lili_Taylor	wd:Q233502
dbr:UmJammer_Lammy	wd:Q2164073
dbr:Vivica_A_u002E__Fox	wd:Q220396
dbr:Broadway_Serenade	wd:Q3645188
dbr:40_Carats__u0028_film_u0029_	wd:Q3824199
dbr:Jeff_Bennett	wd:Q311103
dbr:Kingdom_of_England	wd:Q179876
dbr:Sa_u0161_a__u0106_ur_u010D_i_u0107_	wd:Q978944
dbr:Days_of_Glory__u0028_2006_film_u0029_	wd:Q1466744
dbr:Salimuzzaman_Siddiqui	wd:Q3696065
dbr:The_Buzz_on_Maggie	wd:Q1348394
dbr:Crossing_the_Bridge	wd:Q1057584
dbr:The_Jamie_Foxx_Show	wd:Q1848615
dbr:What_Ever_Happened_to_Baby_Jane_u0025_3F__u0028_1962_film_u0029_	wd:Q26644
dbr:George_F_u002E__Kennan_u003A__An_American_Life	wd:Q5539115
dbr:Hans__u0028_film_u0029_	wd:Q510796
dbr:St_Swithun_u0027_s_Church_u002C__Clunbury	wd:Q7595500
dbr:Trinity_Blood	wd:Q128338
dbr:Some_Say	wd:Q2529233
dbr:Let_u0027_s_Dance__u0028_David_Bowie_song_u0029_	wd:Q1821319
dbr:Dear_Brat	wd:Q3600305
dbr:Fred_Armisen	wd:Q14535
dbr:Smoke_in_the_Wind	wd:Q12127553
dbr:The_Loner	wd:Q3663891
dbr:S_u00E9_gou_Region	wd:Q656845
dbr:Devin_Harris	wd:Q358102
dbr:Glenn_S_u002E__Dumke	wd:Q5569091
dbr:Indian_Air_Force	wd:Q330658
dbr:Too_Bad_She_u0027_s_Bad	wd:Q596541
dbr:If_You_Don_u0027_t_Want_Me_to_Destroy_You	wd:Q5990900
dbr:The_Devil_u0027_s_in_Love	wd:Q3885905
dbr:Fifth_Third_Bank_Ballpark	wd:Q5447561
dbr:Masada_u003A__Hei	wd:Q3129385
dbr:I_Married_You_for_Fun	wd:Q3991035
dbr:Priyadarshan	wd:Q3115713
dbr:Faye_Dunaway	wd:Q168721
dbr:P_u002E__Vasu	wd:Q3535762
dbr:Crush_u002C__Crumble_and_Chomp_u0021_	wd:Q5190179
dbr:Ebenezer_Ako_u002D_Adjei	wd:Q1278627
dbr:Kim_Yeun_u002D_ja	wd:Q6409618
dbr:DePauw_University	wd:Q1179599
dbr:The_Flying_Squad__u0028_1929_film_u0029_	wd:Q7734625
dbr:Stone_Spring	wd:Q7619030
dbr:Valiant__u0028_Star_Trek_u003A__Deep_Space_Nine_u0029_	wd:Q7911634
dbr:Pensacola_u002C__Florida	wd:Q486306
dbr:Raiders_of_the_Desert	wd:Q7283790
dbr:Thank_You_Jan_u0021_	wd:Q18531190
dbr:Ars_u00E8_ne_Lupin_Returns	wd:Q3226385
dbr:Bernhard_von_Kugler	wd:Q96462
dbr:The_Two_Faces_of_January__u0028_film_u0029_	wd:Q3523132
dbr:Plan_B__u0028_musician_u0029_	wd:Q552341
dbr:Ray_Charles	wd:Q544387
dbr:Kull_the_Conqueror	wd:Q1780108
dbr:Tephritidae	wd:Q626843
dbr:Victory_March__u0028_film_u0029_	wd:Q3210540
dbr:Little_Richard	wd:Q82222
dbr:The_Magnificent_Seven_Deadly_Sins	wd:Q7749585
dbr:Pearl_Jam	wd:Q142701
dbr:La_Calle__u0028_song_u0029_	wd:Q6461466
dbr:Star_in_the_Dust	wd:Q1767278
dbr:Our_Man_in_Havana__u0028_film_u0029_	wd:Q1849902
dbr:Loch_u0027_d_and_Loaded	wd:Q3416163
dbr:Michael_Jackson_u0027_s_Moonwalker	wd:Q2536351
dbr:2001__u0028_Dr_u002E__Dre_album_u0029_	wd:Q182280
dbr:Dhwani	wd:Q13112773
dbr:Lord_of_the_Flies__u0028_1990_film_u0029_	wd:Q598096
dbr:Albertslund_station	wd:Q2480478
dbr:Nedumudi_Venu	wd:Q12072044
dbr:The_Vanished_Diamond	wd:Q959582
dbr:Anndi_McAfee	wd:Q2850737
dbr:Machete__u0028_film_u0029_	wd:Q128493
dbr:Margaret_de_Bohun_u002C__Countess_of_Devon	wd:Q6760053
dbr:Kathleen_Quinlan	wd:Q236696
dbr:Track_of_the_Zombie	wd:Q7831522
dbr:Paul_Newman	wd:Q41871
dbr:Inarticulate_Speech_of_the_Heart	wd:Q2081478
dbr:Spinmaster	wd:Q4817991
dbr:Venetian_Snares	wd:Q120204
dbr:Nivea__u0028_singer_u0029_	wd:Q273887
dbr:Chen_Ding_u002D_nan	wd:Q256274
dbr:Club_Valencia	wd:Q928518
dbr:Oscar_and_Lucinda__u0028_film_u0029_	wd:Q2033052
dbr:Swing_When_You_u0027_re_Winning	wd:Q695394
dbr:Always_There	wd:Q4738447
dbr:Saratoga_Trunk	wd:Q1121131
dbr:Promode_Ranjan_Chaudhury	wd:Q7249851
dbr:Resolver__u0028_Shinhwa_album_u0029_	wd:Q16097412
dbr:Nastassja_Kinski	wd:Q76711
dbr:Stone_Cold__u0028_1991_film_u0029_	wd:Q1768016
dbr:Jessica_Tandy	wd:Q182104
dbr:My_Stepmother_Is_an_Alien	wd:Q1540328
dbr:Lawless__u0028_film_u0029_	wd:Q253901
dbr:In_My_Memory__u0028_song_u0029_	wd:Q6010164
dbr:Ben_Franklin__u0028_The_Office_u0029_	wd:Q4885670
dbr:Big_Star	wd:Q72608
dbr:Richard_Curtis	wd:Q355300
dbr:Arabikkatha	wd:Q4783457
dbr:The_Thief_of_Bagdad__u0028_1961_film_u0029_	wd:Q1193742
dbr:Guangdong	wd:Q15175
dbr:Danielle_Darrieux	wd:Q234149
dbr:James_Taylor	wd:Q310300
dbr:Ego_Trippin_u0027___u0028_Part_Two_u0029_	wd:Q5348163
dbr:Green_Day	wd:Q47871
dbr:Channel_4	wd:Q501070
dbr:Bullets_in_the_Gun__u0028_song_u0029_	wd:Q4996872
dbr:Kid_Rock	wd:Q158175
dbr:Baldur_u0027_s_Gate	wd:Q663583
dbr:Crystal_Palace_F_u002E_C_u002E_	wd:Q19467
dbr:Onbadhu_Roobai_Nottu	wd:Q7091742
dbr:Stephen_Woolley	wd:Q7610883
dbr:Citizen_X	wd:Q1093438
dbr:Miss_March	wd:Q475136
dbr:Brothers_Under_the_Skin	wd:Q4975677
dbr:She_u0027_s_So_Lovely	wd:Q637748
dbr:The_Matrix_Revolutions	wd:Q207536
dbr:Marilyn_Hotchkiss_u0027__Ballroom_Dancing_and_Charm_School	wd:Q6763552
dbr:My_Name_Is_Khan	wd:Q330663
dbr:Sivagangai_Seemai	wd:Q7532321
dbr:Martin_Davidson	wd:Q3850049
dbr:Johan_de_Witt	wd:Q318362
dbr:Melvins	wd:Q385618
dbr:Greg_Fee	wd:Q5605554
dbr:My_Big_Fat_Independent_Movie	wd:Q6945024
dbr:Neil_Marshall	wd:Q944459
dbr:Fallin_u0027___u0028_Teenage_Fanclub_and_De_La_Soul_song_u0029_	wd:Q5432269
dbr:Film	wd:Q11424
dbr:C_u002E_S_u002E_A_u002E__u003A__The_Confederate_States_of_America	wd:Q1393048
dbr:Beautiful_Katamari	wd:Q1187204
dbr:Amasa_Learned	wd:Q455350
dbr:Lee_Zahler	wd:Q1397968
dbr:Sahg	wd:Q735088
dbr:Petar_Gra_u010D_anin	wd:Q3443424
dbr:St_Trinian_u0027_s__u0028_film_u0029_	wd:Q93443
dbr:Drumma_Boy	wd:Q3298815
dbr:Hack_and_slash	wd:Q1163960
dbr:Nicola_Piovani	wd:Q1364297
dbr:Marcus_Miller	wd:Q323467
dbr:Tucson_u002C__Arizona	wd:Q18575
dbr:Looty	wd:Q12988585
dbr:Bydgoszcz	wd:Q41252
dbr:Von_Ryan_u0027_s_Express	wd:Q714992
dbr:Luis_Bu_u00F1_uel	wd:Q51545
dbr:Danny_Roane_u003A__First_Time_Director	wd:Q3015300
dbr:Eigo_de_Shabera_Night	wd:Q5349179
dbr:Summer_Storm__u0028_1944_film_u0029_	wd:Q3202752
dbr:Crying_Song	wd:Q2350131
dbr:Relapse_Records	wd:Q657558
dbr:Oloron_u002D_Sainte_u002D_Marie	wd:Q208407
dbr:Jeeps_u002C__Lex_Coups_u002C__Bimaz__u0026__Benz	wd:Q6172956
dbr:Walter_Koenig	wd:Q376176
dbr:The_Miracle__u0028_1991_film_u0029_	wd:Q1452232
dbr:Simon_Templar	wd:Q388271
dbr:The_Howards_of_Virginia	wd:Q938799
dbr:Model__u0028_people_u0029_	wd:Q4610556
dbr:Bad_Arolsen	wd:Q498078
dbr:Firestarter__u0028_film_u0029_	wd:Q848503
dbr:Bottle_Rocket__u0028_album_u0029_	wd:Q9662529
dbr:Gambler__u0028_Madonna_song_u0029_	wd:Q1460837
dbr:Interstellar_Space	wd:Q389979
dbr:Silambattam__u0028_film_u0029_	wd:Q7514062
dbr:Sugar_and_Spies	wd:Q12128505
dbr:Satish_Shah	wd:Q1612623
dbr:The_King_and_Queen_of_America	wd:Q9358066
dbr:Rough_God_Goes_Riding	wd:Q7370822
dbr:Llanberis	wd:Q1638504
dbr:Western_Front__u0028_World_War_I_u0029_	wd:Q152989
dbr:Central_School_of_Speech_and_Drama	wd:Q981195
dbr:Eyes_of_the_Mind	wd:Q5422847
dbr:Koichi_Sugiyama	wd:Q1192498
dbr:Andrew_W_u002E_K_u002E_	wd:Q505898
dbr:Manoel_de_Oliveira	wd:Q43264
dbr:Olomouc	wd:Q81137
dbr:All_Night_Long__u0028_1981_film_u0029_	wd:Q4127732
dbr:Three_from_the_Vault	wd:Q3496325
dbr:Jonathan_Harris	wd:Q1287014
dbr:Katie_Wants_a_Fast_One	wd:Q6377581
dbr:London_Town__u0028_film_u0029_	wd:Q6670852
dbr:Billy_Ray__u0028_screenwriter_u0029_	wd:Q2679090
dbr:Dumb_and_Dumberer_u003A__When_Harry_Met_Lloyd	wd:Q1265087
dbr:_u00C5_marken_station	wd:Q2796986
dbr:Cold_Cold_Heart__u0028_Wet_Wet_Wet_song_u0029_	wd:Q5142214
dbr:Dobra_devojka	wd:Q5286686
dbr:M_u002E__B_u002E__Sreenivasan	wd:Q6712428
dbr:Kingdom_Come__u0028_2001_film_u0029_	wd:Q4311027
dbr:Roped	wd:Q3472403
dbr:Andrew_Dunemann	wd:Q4756851
dbr:Kushboo	wd:Q3521226
dbr:Milo_O_u0027_Shea	wd:Q2741618
dbr:Anweshichu_Kandethiyilla	wd:Q4777976
dbr:Alternative_rock	wd:Q11366
dbr:New_Zealand_Post	wd:Q1144511
dbr:Never_Take_No_for_an_Answer	wd:Q7004289
dbr:Finding_Love_in_Memories	wd:Q5449950
dbr:The_Crimson_Pirate	wd:Q1199536
dbr:Martin_R_u016F__u017E_i_u010D_ka	wd:Q773183
dbr:John_Wayne	wd:Q40531
dbr:I_u0027_ll_Take_the_Rain	wd:Q1419817
dbr:A_Friend_Will_Come_Tonight	wd:Q19892878
dbr:Passion__u0028_Peter_Gabriel_album_u0029_	wd:Q662635
dbr:Shotaro_Ishinomori	wd:Q471103
dbr:Down_in_the_Groove	wd:Q1930959
dbr:Irene__u0028_1926_film_u0029_	wd:Q3801872
