dbr:Julian_Melchiori	wd:Q6307383
dbr:Blues_Brothers_2000	wd:Q832515
dbr:Permanent_Vacation__u0028_1980_film_u0029_	wd:Q2071501
dbr:Natural_Black	wd:Q16215450
dbr:Myra_Breckinridge__u0028_film_u0029_	wd:Q2753143
dbr:The_Brothers_Grimm__u0028_film_u0029_	wd:Q707880
dbr:My_Wife_Is_an_Actress	wd:Q2446893
dbr:Blue_Moods	wd:Q885776
dbr:Ter_Apel	wd:Q475483
dbr:Lookout_Records	wd:Q430070
dbr:Technical_death_metal	wd:Q1076092
dbr:Song_Sung_Blue	wd:Q7561048
dbr:Love_Story__u0028_Taylor_Swift_song_u0029_	wd:Q1764379
dbr:The_Hunger_Games_u003A__Mockingjay__u2013__Part_2	wd:Q10307713
dbr:Gas_u002D_s_u002D_s_u002D_s	wd:Q3758579
dbr:Stop_at_Nothing	wd:Q7619788
dbr:The_Dawn_Maker	wd:Q3986530
dbr:Happy_Husbands__u0028_2010_film_u0029_	wd:Q5652875
dbr:Craig_Cawthray	wd:Q5180812
dbr:The_Lady_Vanishes__u0028_1979_film_u0029_	wd:Q1058723
dbr:The_Fall_of_Ideals	wd:Q2561248
dbr:M_u00E5_l_u00F8_v_station	wd:Q12328030
dbr:Edward_Parry__u0028_prelate_u0029_	wd:Q5340163
dbr:List_of_vehicular_combat_games	wd:Q2070892
dbr:Chris_Lowell	wd:Q703929
dbr:Watershed__u0028_k_u002E_d_u002E__lang_album_u0029_	wd:Q7974414
dbr:Shakira	wd:Q34424
dbr:Adrian_Tucker	wd:Q4685401
dbr:Pan_u002D_Malaysian_Islamic_Party	wd:Q1547025
dbr:Born_to_Be_Blue__u0028_Freddie_Hubbard_album_u0029_	wd:Q4945932
dbr:Where_u0027_s_the_Love	wd:Q7993146
dbr:A_Little_Party_Never_Killed_Nobody__u0028_All_We_Got_u0029_	wd:Q13445412
dbr:Warsaw	wd:Q270
dbr:Don_u0027_t_You_Want_Me	wd:Q1242392
dbr:Go_West__u0028_song_u0029_	wd:Q701588
dbr:The_Brave_One__u0028_1956_film_u0029_	wd:Q644150
dbr:Scrooged	wd:Q535395
dbr:Song_Kang_u002D_ho	wd:Q484400
dbr:John_R_u002E__Leonetti	wd:Q361290
dbr:The_Train__u0028_1964_film_u0029_	wd:Q142751
dbr:A_Walk_on_the_Moon	wd:Q2604363
dbr:The_Amityville_Horror__u0028_1979_film_u0029_	wd:Q472512
dbr:Ed_Schultz	wd:Q422303
dbr:Palio__u0028_film_u0029_	wd:Q3891790
dbr:The_Griffin_Family_History	wd:Q4052436
dbr:To_Lose_My_Life__u0028_song_u0029_	wd:Q2243073
dbr:August_Schellenberg	wd:Q763772
dbr:Sceaux_u002C__Hauts_u002D_de_u002D_Seine	wd:Q370498
dbr:Blyth_Spartans_A_u002E_F_u002E_C_u002E_	wd:Q18284
dbr:Ludger_St_u00FC_hlmeyer	wd:Q1873853
dbr:Resurrecting_Ravana	wd:Q7316495
dbr:Aryan__u0028_1988_film_u0029_	wd:Q4802635
dbr:Ann_Arbor_u002C__Michigan	wd:Q485172
dbr:Unity__u0028_game_engine_u0029_	wd:Q63966
dbr:The_Honeymoon_Machine	wd:Q2082628
dbr:What_u0027_s_Opera_u002C__Doc_u0025_3F	wd:Q2635222
dbr:Momoiro_Clover_Z	wd:Q1070606
dbr:Ulysses__u0028_1954_film_u0029_	wd:Q958327
dbr:The_Lost_World__u0028_2001_film_u0029_	wd:Q1219739
dbr:Tristana	wd:Q1321880
dbr:Dead_Man_u0027_s_Eyes	wd:Q5245272
dbr:Fixed_Bayonets_u0021_	wd:Q562639
dbr:So_Appalled	wd:Q7549034
dbr:Sons_of_the_Pioneers	wd:Q2414335
dbr:Windows_Phone	wd:Q4885200
dbr:Odd_Man_Out	wd:Q778772
dbr:Brother_Orchid	wd:Q1504143
dbr:Extra_Challenge	wd:Q278985
dbr:Cobra__u0028_album_u0029_	wd:Q2981160
dbr:Umar_Akmal	wd:Q3183329
dbr:Spinefarm_Records	wd:Q1124153
dbr:Raspberry_Swirl	wd:Q7295194
dbr:28_Days__u0028_film_u0029_	wd:Q221098
dbr:American_Revolutionary_War	wd:Q40949
dbr:Erotica__u0028_Madonna_album_u0029_	wd:Q478324
dbr:Freddy_Head	wd:Q3087038
dbr:Raama_Raavanan	wd:Q7278411
dbr:Return_to_Peyton_Place__u0028_film_u0029_	wd:Q1610624
dbr:Girish_Karnad	wd:Q3518444
dbr:Who_Dares_Wins__u0028_film_u0029_	wd:Q742480
dbr:A_Summer_Story	wd:Q1305654
dbr:Born_to_Kill__u0028_1947_film_u0029_	wd:Q1089519
dbr:The_Way_I_Am__u0028_Eminem_song_u0029_	wd:Q1412631
dbr:John_Barry__u0028_composer_u0029_	wd:Q111074
dbr:Keeping_the_Faith	wd:Q1330582
dbr:The_Berlin_Affair	wd:Q481328
dbr:Death_Race_3_u003A__Inferno	wd:Q3020730
dbr:Hondo__u0028_film_u0029_	wd:Q1888547
dbr:Thavasi	wd:Q7711477
dbr:Touch__u002F__Yume_no_Tsuzuki	wd:Q7828575
dbr:Working_Class_Hero	wd:Q958795
dbr:The_King_u0027_s_Thief	wd:Q1200457
dbr:Mother__u0028_John_Lennon_song_u0029_	wd:Q2452661
dbr:Wonderful_World__u0028_2009_film_u0029_	wd:Q8031851
dbr:Clarence_Weatherspoon	wd:Q2309475
dbr:Ho_Mei_u002D_yueh	wd:Q8969972
dbr:Earthquake_Weather__u0028_novel_u0029_	wd:Q5327266
dbr:Royal_Australian_Air_Force	wd:Q823635
dbr:The_Train__u0028_1970_film_u0029_	wd:Q7769890
dbr:Ri_Chun_u002D_hee	wd:Q490736
dbr:Future__u0028_rapper_u0029_	wd:Q3445057
dbr:Lekar_Hum_Deewana_Dil	wd:Q17068735
dbr:Bantam_Books	wd:Q2609948
dbr:James_Stewart	wd:Q102462
dbr:Gil_Bellows	wd:Q360313
dbr:Manga	wd:Q8274
dbr:Massacre_Time	wd:Q1232085
dbr:Every_Man	wd:Q5417539
dbr:Five_Weeks_in_a_Balloon__u0028_film_u0029_	wd:Q2062944
dbr:She_Never_Cried_in_Front_of_Me	wd:Q7492037
dbr:Mark_Isham	wd:Q528663
dbr:Damage__u0028_1992_film_u0029_	wd:Q1542915
dbr:Simple_Creed	wd:Q7520658
dbr:London_Records	wd:Q935090
dbr:Premaku_Swagatam	wd:Q7240208
dbr:Johnny_Guitar	wd:Q59318
dbr:Wonderland__u0028_Natalia_Kills_song_u0029_	wd:Q946667
dbr:Romain_Marchessou	wd:Q1669824
dbr:Atheneum_Books	wd:Q4813415
dbr:Flynn_Robinson	wd:Q2330086
dbr:The_Extraordinary_Adventures_of_Ad_u00E8_le_Blanc_u002D_Sec__u0028_film_u0029_	wd:Q380349
dbr:Pain_Is_Love_2	wd:Q3360552
dbr:Rock_n_Roll_Jesus__u0028_song_u0029_	wd:Q7354834
dbr:Saw_3D	wd:Q676284
dbr:Kim_Basinger	wd:Q131380
dbr:Wilderich_Freiherr_Ostman_von_der_Leye	wd:Q2570667
dbr:Petra_Kelly	wd:Q61227
dbr:Invisible_Empire__u0028_song_u0029_	wd:Q15210369
dbr:J_u002E__Carrol_Naish	wd:Q642876
dbr:Gary_Paul_Nabhan	wd:Q5525723
dbr:Sam_Leavitt	wd:Q968440
dbr:Angels_u0027__Alley	wd:Q4763013
dbr:Stranger_in_My_House__u0028_Tamia_song_u0029_	wd:Q3975825
dbr:Life_on_the_Ropes	wd:Q735599
dbr:Ocean_u0027_s_Trilogy	wd:Q4463076
dbr:The_Sellout__u0028_album_u0029_	wd:Q3989204
dbr:Leaving_Louisiana_in_the_Broad_Daylight	wd:Q6510757
dbr:University_of_Belgrade	wd:Q240631
dbr:I_Gotta_Feeling	wd:Q778849
dbr:James_Logan__u0028_footballer_u002C__born_1885_u0029_	wd:Q6138169
dbr:Salford_Red_Devils	wd:Q3469726
dbr:Buffy_Sainte_u002D_Marie	wd:Q467027
dbr:No_Census_u002C__No_Feeling	wd:Q7044026
dbr:Phil_LaMarr	wd:Q356541
dbr:Tall_Maran	wd:Q5849358
dbr:Zelig	wd:Q187423
dbr:Flesh__u0028_1932_film_u0029_	wd:Q466327
dbr:Doom_metal	wd:Q186170
dbr:Ivan_Kasutin	wd:Q1649600
dbr:Baby__u0028_The_Detroit_Cobras_album_u0029_	wd:Q4838182
dbr:Admiral_Vladivostok	wd:Q12258529
dbr:Andrew_Lazar	wd:Q4757720
dbr:The_Colbert_Report	wd:Q1130799
dbr:Kamen_Rider_Drive	wd:Q17502389
dbr:Robert_Englund	wd:Q310389
dbr:Skinny_Puppy	wd:Q371535
dbr:Fort_Lauderdale_u002C__Florida	wd:Q165972
dbr:The_Twilight_Zone__u0028_1959_TV_series_u0029_	wd:Q742103
dbr:Ground_State__u0028_Angel_u0029_	wd:Q2997105
dbr:Ridin_u0027__Down_the_Canyon	wd:Q7332910
dbr:Fanny_Cochrane_Smith	wd:Q444357
dbr:Monterey_u002C__California	wd:Q487315
dbr:Spanish_frigate_Navarra__u0028_F85_u0029_	wd:Q474975
dbr:The_Comancheros__u0028_film_u0029_	wd:Q1211898
dbr:Eddie_Blay	wd:Q329649
dbr:Between_Broadway__u0026__Hollywood	wd:Q4899066
dbr:Kakavand_u002D_e_Sharqi_Rural_District	wd:Q6349306
dbr:Far_Away_Eyes	wd:Q3739458
dbr:Camilo_Romero	wd:Q521913
dbr:Diamonds__u0028_1999_film_u0029_	wd:Q876851
dbr:The_Count__u0028_film_u0029_	wd:Q2482645
dbr:Western_Heritage	wd:Q7987902
dbr:Kathleen_Mavourneen__u0028_1937_film_u0029_	wd:Q6376828
dbr:Morris_S_u002E__Seale	wd:Q6913877
dbr:Manoj_Bajpai	wd:Q158533
dbr:Serie_D	wd:Q1141778
dbr:Bedum	wd:Q461142
dbr:White_Witch_Doctor__u0028_film_u0029_	wd:Q2311084
dbr:Azerigasbank	wd:Q4832464
dbr:Alton_Meiring	wd:Q4736897
dbr:Susan_Fitzgerald	wd:Q7647832
dbr:The_Blue_Knight__u0028_TV_series_u0029_	wd:Q3907577
dbr:Fighting_Blood	wd:Q3744724
dbr:Horror_fiction	wd:Q193606
dbr:Tucker_u003A__The_Man_and_His_Dream	wd:Q1421355
dbr:Pride_and_Joy__u0028_Marvin_Gaye_song_u0029_	wd:Q7242805
dbr:Nordanstig_Municipality	wd:Q514805
dbr:Boa_vs_u002E__Python	wd:Q638014
dbr:Ghazal__u0028_1993_film_u0029_	wd:Q5555992
dbr:It_u0027_s_My_Life__u0028_Bon_Jovi_song_u0029_	wd:Q686517
dbr:Jolanda_u002C__the_Daughter_of_the_Black_Corsair	wd:Q3183109
dbr:Batman_u003A__Mystery_of_the_Batwoman	wd:Q810861
dbr:Broadway_Melody_of_1936	wd:Q1619460
dbr:Julian_Garrett	wd:Q12058363
dbr:Modern_Theatres	wd:Q3531832
dbr:Policy_of_Truth	wd:Q2305046
dbr:Franco_Brusati	wd:Q955524
dbr:Anthony_Blaxland_Stransham	wd:Q4772122
dbr:Dysseg_u00E5_rd_station	wd:Q2615777
dbr:Personal_Velocity_u003A__Three_Portraits	wd:Q3375713
dbr:Bukan_County	wd:Q1294493
dbr:Jealousy__u0028_1953_film_u0029_	wd:Q3100294
dbr:The_King_and_the_Mockingbird	wd:Q934970
dbr:Alice_in_the_Cities	wd:Q694770
dbr:Nothing_Can_Come_Between_Us	wd:Q7062737
dbr:En_Annan	wd:Q5374955
dbr:Feeling_Minnesota	wd:Q1937392
dbr:Deborah_Mash	wd:Q545893
dbr:Melody_Time	wd:Q869741
dbr:Secret_of_the_Incas	wd:Q7444182
dbr:Joshiy	wd:Q6289570
dbr:At_the_Pier	wd:Q4812554
dbr:Falling_Down__u0028_Tears_for_Fears_song_u0029_	wd:Q5432316
dbr:Awarapan	wd:Q4829827
dbr:San_Juan_u002C__Puerto_Rico	wd:Q41211
dbr:The_Namesake__u0028_film_u0029_	wd:Q1557308
dbr:White_Bird_in_a_Blizzard	wd:Q3567763
dbr:Humanoids_from_the_Deep	wd:Q2021440
dbr:Fant_u00F4_mas__u0028_1964_film_u0029_	wd:Q996020
dbr:Shelley_Moore_Capito	wd:Q459618
dbr:_u0021_Kung_language	wd:Q32904
dbr:Dean_Stockwell	wd:Q345212
dbr:Payback__u0028_1999_film_u0029_	wd:Q279057
dbr:Number_One_with_a_Bullet__u0028_film_u0029_	wd:Q7069542
dbr:Charles_B_u002E__Pierce	wd:Q2801455
dbr:Your_Uncle_Dudley	wd:Q4023084
dbr:F_u00E4_rjestad_BK	wd:Q1122553
dbr:John_Musker	wd:Q735440
dbr:Pennine_Alps	wd:Q1270
dbr:HSBC_Private_Bank	wd:Q1565913
dbr:Yebawmi	wd:Q8051023
dbr:Goundamani	wd:Q3522069
dbr:Never_on_Tuesday	wd:Q2364482
dbr:Love_on_the_Run__u0028_1979_film_u0029_	wd:Q277281
dbr:Spode	wd:Q3508894
dbr:Om_Puri	wd:Q80309
dbr:Krishna_Levy	wd:Q361333
dbr:Date_Warp	wd:Q5227552
dbr:Meiringen_railway_station	wd:Q5544215
dbr:Wilhelm_Balthasar	wd:Q77790
dbr:Newt_Gingrich	wd:Q182788
dbr:Bergen	wd:Q26793
dbr:Teacher_u0027_s_Pet__u0028_1958_film_u0029_	wd:Q1781998
dbr:Chen_Yinke	wd:Q714824
dbr:The_Trap__u0028_1959_film_u0029_	wd:Q3375409
dbr:David_Cross	wd:Q362332
dbr:Munich__u0028_film_u0029_	wd:Q152456
dbr:The_Devil_u0027_s_Disciple__u0028_1959_film_u0029_	wd:Q1571462
dbr:Premier_League	wd:Q9448
dbr:George_Turner_Orton	wd:Q5545371
dbr:Jerry_Goldsmith	wd:Q235077
dbr:Doraemon_u003A__Nobita_and_the_Animal_Planet	wd:Q719503
dbr:Bloodline__u0028_1979_film_u0029_	wd:Q1768311
dbr:Ismar_Gor_u010D_i_u0107_	wd:Q6084936
dbr:Dave_Grusin	wd:Q502923
dbr:Star_Trek_Into_Darkness	wd:Q171711
dbr:Quantum_of_Solace	wd:Q181540
dbr:The_Fountain_of_Indolence	wd:Q17014543
dbr:Jonathan_Frid	wd:Q1337143
dbr:Mazes_and_Monsters	wd:Q520191
dbr:Petronius	wd:Q47180
dbr:Seine_u002D_Maritime	wd:Q12758
dbr:Home_Economics__u0028_Community_u0029_	wd:Q5888335
dbr:Sparks__u0028_Ally_Kennen_novel_u0029_	wd:Q7573709
dbr:Ed_Bogas	wd:Q3047153
dbr:Dan_Sheridan	wd:Q5214376
dbr:Les_Chansons_d_u0027_Aragon	wd:Q10816699
dbr:Ben_Younger	wd:Q1983058
dbr:Rahasyam__u0028_1967_film_u0029_	wd:Q7283316
dbr:Brandenburg	wd:Q1208
dbr:Everybody_Knows__u0028_John_Legend_song_u0029_	wd:Q2685971
dbr:Lethal_Weapon_2	wd:Q751767
dbr:You_Make_Me	wd:Q14916032
dbr:Where_the_Truth_Lies	wd:Q151848
dbr:Stella_Maris_Airport	wd:Q7607091
dbr:Samuel_Hui	wd:Q549233
dbr:Huckleberry_Finn__u0028_1974_film_u0029_	wd:Q965149
dbr:Dice__u0028_miniseries_u0029_	wd:Q5272339
dbr:Madrid	wd:Q2807
dbr:Columbia_Pictures	wd:Q186941
dbr:Princess_Sophie_H_u00E9_l_u00E8_ne_B_u00E9_atrice_of_France	wd:Q1897565
dbr:Sean_Astin	wd:Q189351
dbr:Takasago_Army	wd:Q7677282
dbr:Dutch_Reformed_Church	wd:Q515880
dbr:The_Brothers__u0028_1947_film_u0029_	wd:Q7720354
dbr:Michael_Collins__u0028_film_u0029_	wd:Q430535
dbr:Mihai_Timofti	wd:Q2618947
dbr:Trial_and_Error__u0028_album_u0029_	wd:Q7839949
dbr:Beyond_the_Clouds__u0028_1995_film_u0029_	wd:Q768966
dbr:Geoffrey_Toye	wd:Q5534939
dbr:Trieste	wd:Q546
dbr:Doha	wd:Q3861
dbr:Yogi_u0027_s_Ark_Lark	wd:Q8881703
dbr:Kay_u014D_kyoku	wd:Q1418683
dbr:Elizabeth_u003A__The_Golden_Age	wd:Q727846
dbr:Speedy_Keen	wd:Q6217418
dbr:Maelstrom__u0028_video_game_u0029_	wd:Q6729207
dbr:Frank_Tashlin	wd:Q589459
dbr:Frank_Langella	wd:Q310944
dbr:Brian_Lane__u0028_RAF_officer_u0029_	wd:Q13629427
dbr:Cody_Corbett	wd:Q16213137
dbr:Harald_Leslie_u002C__Lord_Birsay	wd:Q14949081
dbr:Sisq_u00F3_	wd:Q730108
dbr:Giurgiu_County	wd:Q193055
dbr:Darren_Hayes	wd:Q527055
dbr:Dave_White__u0028_artist_u0029_	wd:Q5230089
dbr:All_About_You__u0028_The_Rolling_Stones_song_u0029_	wd:Q283475
dbr:Matthew_Broderick	wd:Q28755
dbr:Still_Life__u0028_Opeth_album_u0029_	wd:Q18615
dbr:M_u00F6_rbyl_u00E5_nga_Municipality	wd:Q514756
dbr:Silicon_Valley__u0028_TV_series_u0029_	wd:Q15956708
dbr:Visual_novel	wd:Q689445
dbr:Hudson_Hawk	wd:Q518127
dbr:Arthur_Hunnicutt	wd:Q709942
dbr:A_u002E_C_u002E_S_u002E_D_u002E__Saluzzo	wd:Q2556933
dbr:Disco_Inferno__u0028_50_Cent_song_u0029_	wd:Q2482822
dbr:Timegates	wd:Q7805521
dbr:San_Antonio__u0028_film_u0029_	wd:Q1304891
dbr:Aha_Naa_Pellanta__u0028_1987_film_u0029_	wd:Q4694890
dbr:Le_coppie	wd:Q3828638
dbr:Wanted_u0021__The_Outlaws	wd:Q7968132
dbr:Forget_about_Tomorrow	wd:Q5469667
dbr:Jason_Maxiell	wd:Q935850
dbr:Left_Handed_Johnny_West	wd:Q1702429
dbr:Caprice_Italian_Style	wd:Q2261883
dbr:Brian_McKnight	wd:Q1153370
dbr:Beat__u0027_em_up	wd:Q401831
dbr:Dedicated_to_You__u0028_Frank_Sinatra_album_u0029_	wd:Q3704625
dbr:Bas_Ek_Pal	wd:Q376531
dbr:Bob_Hope	wd:Q94081
dbr:The_Sea_Will_Claim_Everything	wd:Q16267671
dbr:Unpretty	wd:Q1407660
dbr:Mary_Nash	wd:Q3296222
dbr:Godhuli	wd:Q3109762
dbr:University_of_St_Andrews	wd:Q216273
dbr:The_Smurfs_2	wd:Q1253366
dbr:Link_u00F6_ping_Municipality	wd:Q499410
dbr:Meet_Betty_Carter_and_Ray_Bryant	wd:Q6807740
dbr:Lost_in_Space__u0028_film_u0029_	wd:Q502908
dbr:Vista_u002C__California	wd:Q924241
dbr:Ballentine__u002F__Broad_Creek__u0028_Tide_station_u0029_	wd:Q4851596
dbr:The_Idiot__u0028_1951_film_u0029_	wd:Q1194546
dbr:Java_Head__u0028_1934_film_u0029_	wd:Q6164993
dbr:Looney_Tunes_Golden_Collection_u003A__Volume_1	wd:Q6675678
dbr:Life_Stinks	wd:Q1169586
dbr:Love_in_the_Time_of_Cholera__u0028_film_u0029_	wd:Q849169
dbr:Avex_Trax	wd:Q1988428
dbr:Hilmar_Reksten	wd:Q1343887
dbr:Kunming	wd:Q182852
dbr:Chinor	wd:Q5101261
dbr:Meiko_Kaji	wd:Q175900
dbr:Umpire__u0028_baseball_u0029_	wd:Q1856798
dbr:Joe_McElderry	wd:Q350368
dbr:The_Final_Cut__u0028_song_u0029_	wd:Q3099250
dbr:Armamentarium__u0028_album_u0029_	wd:Q2861714
dbr:Sarah_Courtney	wd:Q16197735
dbr:Cyndi_Lauper	wd:Q1545
dbr:Roskilde	wd:Q26563
dbr:Rodrigo_Prieto	wd:Q1341403
dbr:Beastie_Boys	wd:Q214039
dbr:Ramana_Reddy	wd:Q7288904
dbr:Sampler__u0028_musical_instrument_u0029_	wd:Q320002
dbr:I_Come_with_the_Rain	wd:Q1153605
dbr:Nayanthara	wd:Q2748319
dbr:Traryd	wd:Q2584179
dbr:Leeds_Rhinos	wd:Q1202117
dbr:Mehrestan_County	wd:Q1074463
dbr:Central_District__u0028_Darab_County_u0029_	wd:Q5060778
dbr:Listenable_Records	wd:Q1864938
dbr:Hills_of_Kentucky	wd:Q20949879
dbr:Pharrell_Williams	wd:Q14313
dbr:Night_and_Day__u0028_1946_film_u0029_	wd:Q584824
dbr:Free__u0028_Brad_Johner_album_u0029_	wd:Q5499682
dbr:Russian_language	wd:Q7737
dbr:Dileep__u0028_actor_u0029_	wd:Q5276736
dbr:Bomberman__u0027_94	wd:Q3141541
dbr:Suspiria	wd:Q546900
dbr:Chigasaki_u002C__Kanagawa	wd:Q633911
dbr:The_Morals_of_Ruth_Halbfass	wd:Q19593815
dbr:Peter_Gr_u00FC_nberg	wd:Q57120
dbr:White_u002C__Discussion	wd:Q7994253
dbr:Freddie_Prinze_u002C__Jr_u002E_	wd:Q309756
dbr:Out_for_Justice	wd:Q517652
dbr:Shatranj__u0028_film_u0029_	wd:Q7490659
dbr:Hush_u2026__Hush_u002C__Sweet_Charlotte	wd:Q631947
dbr:Made_in_America__u0028_Toby_Keith_song_u0029_	wd:Q6726707
dbr:Machucando	wd:Q3842096
dbr:Gray_Lady_Down	wd:Q1688374
dbr:Crazy_English__u0028_film_u0029_	wd:Q5183147
dbr:Fire_Garden	wd:Q947739
dbr:Chucky__u0028_franchise_u0029_	wd:Q2265493
dbr:Tulsa__u0028_film_u0029_	wd:Q642779
dbr:If_I_Had_You__u0028_Adam_Lambert_song_u0029_	wd:Q542721
dbr:Aspire_Dome	wd:Q737587
dbr:Salvatore_Giuliano__u0028_film_u0029_	wd:Q1783832
dbr:Rabbit_u002D_Proof_Fence__u0028_film_u0029_	wd:Q1142799
dbr:13_Rue_Madeleine	wd:Q2074928
dbr:H_u002E__M_u002E__Pulham_u002C__Esq_u002E_	wd:Q2056649
dbr:The_Power_of_Madonna	wd:Q2633207
dbr:Cal_Johnson__u0028_businessman_u0029_	wd:Q5018150
dbr:Attention_bandits_u0021_	wd:Q1962074
dbr:Christopher_Parsons	wd:Q5113027
dbr:Vries_u002C__Drenthe	wd:Q501788
dbr:Through_a_Glass_Darkly__u0028_film_u0029_	wd:Q587498
dbr:Ethan_Hawke	wd:Q484615
dbr:Going_Missing	wd:Q5577807
dbr:Club_Dead	wd:Q1748720
dbr:Road_House__u0028_1948_film_u0029_	wd:Q577918
dbr:The_Traveling_Executioner	wd:Q7770006
dbr:Frank_Sullivan__u0028_film_editor_u0029_	wd:Q513098
dbr:Xikou	wd:Q843876
dbr:Death_Wish_V_u003A__The_Face_of_Death	wd:Q848297
dbr:Macau	wd:Q14773
dbr:Harald_Gelhaus	wd:Q1883212
dbr:Bend_of_the_River	wd:Q1926164
dbr:Thenmavin_Kombath	wd:Q7781395
dbr:Karan_Arjun	wd:Q979279
dbr:Jenna_Elfman	wd:Q229249
dbr:Condannato_a_nozze	wd:Q3686385
dbr:Microsoft	wd:Q2283
dbr:Captain_Underpants_and_the_Invasion_of_the_Incredibly_Naughty_Cafeteria_Ladies_from_Outer_Space	wd:Q5036838
dbr:Full_Moon_in_St_u002E__Petersburg	wd:Q5508114
dbr:Pirkkala	wd:Q853628
dbr:Looney_Tunes_Super_Stars_u0027__Bugs_Bunny_u003A__Hare_Extraordinaire	wd:Q6675703
dbr:Agni_Natchathiram	wd:Q3424202
dbr:Simon_Birch	wd:Q1540008
dbr:Battling_Butler	wd:Q1194791
dbr:Shulamith_Firestone	wd:Q271551
dbr:Cat_Orgy	wd:Q834915
dbr:I_u0027_ll_Never_Forget_What_u0027_s_u0027_isname	wd:Q5965905
dbr:Fair_and_Warmer__u0028_film_u0029_	wd:Q3738426
dbr:P_u002E__J_u002E__O_u0027_Rourke	wd:Q730017
dbr:The_Second_Civil_War	wd:Q1747368
dbr:John_Legend	wd:Q44857
dbr:Vasu__u0028_film_u0029_	wd:Q7917007
dbr:Ellie_Goulding	wd:Q31164
dbr:Konstantin_Glazachev	wd:Q748492
dbr:Island_of_the_Sequined_Love_Nun	wd:Q6083605
dbr:David_W_u002E__Evans	wd:Q1177017
dbr:Danny_Dunn_on_a_Desert_Island	wd:Q5220317
dbr:Blood__u0028_video_game_u0029_	wd:Q885083
dbr:Pembroke_College_u002C__Cambridge	wd:Q956501
dbr:Old_Time_u0027_s_Sake	wd:Q2318086
dbr:Robin__u0028_The_Hooded_Man_u0029_	wd:Q7352209
dbr:People_Like_Me__u0028_song_u0029_	wd:Q7165890
dbr:Amrut_Manthan	wd:Q21646086
dbr:Son_of_Paleface	wd:Q883593
dbr:Deathcore	wd:Q475221
dbr:Ren_u0027_ai_Hunter	wd:Q1188887
dbr:The_Maggie	wd:Q2399199
dbr:Mark_Evans__u0028_TV_presenter_u0029_	wd:Q6767546
dbr:Texas_A_u0026_M_University	wd:Q49212
dbr:P_u00E4_r_Djoos	wd:Q515963
dbr:Hyundai_Motor_Company	wd:Q55931
dbr:Tower_Heist	wd:Q778979
dbr:The_Even_Stevens_Movie	wd:Q659953
dbr:Worms_Armageddon	wd:Q953922
dbr:Medieval_II_u003A__Total_War	wd:Q629626
dbr:Eastern_Front__u0028_World_War_II_u0029_	wd:Q189266
dbr:Maccabi_Tel_Aviv_B_u002E_C_u002E_	wd:Q819694
dbr:Volga_Volga__u0028_1928_film_u0029_	wd:Q17031918
dbr:The_Third_Lover	wd:Q12137068
dbr:I_u0027_m_a_Monkey_u0027_s_Uncle	wd:Q5966991
dbr:Basshunter	wd:Q383541
dbr:Warner_Music_Australasia	wd:Q7969735
dbr:The_H_u002D_Bomb_Girl	wd:Q7738590
dbr:Doggfather	wd:Q1234686
dbr:White_Squall__u0028_film_u0029_	wd:Q1756394
dbr:Piranha_II_u003A__The_Spawning	wd:Q1576981
dbr:RKO_281	wd:Q1093425
dbr:Prison_Farm__u0028_film_u0029_	wd:Q3922166
dbr:Xander_Berkeley	wd:Q361610
dbr:Devdas__u0028_1936_film_u0029_	wd:Q846889
dbr:Jacob_Kainen	wd:Q15435214
dbr:Gheorghe_Remenco	wd:Q5556405
dbr:Kuri_Kinton	wd:Q6445960
dbr:Frank_Winters	wd:Q5490441
dbr:Celeste_and_Jesse_Forever	wd:Q248505
dbr:Maybe__u0028_Enrique_Iglesias_song_u0029_	wd:Q3853169
dbr:The_Untidy_Suicides_of_Your_Degenerate_Children	wd:Q7771733
dbr:Trisha_Yearwood	wd:Q464251
dbr:Assam	wd:Q1164
dbr:Haji_u0027_s_Kitchen__u0028_album_u0029_	wd:Q5639858
dbr:Hopscotch__u0028_film_u0029_	wd:Q53095
dbr:Ulysses__u0028_1967_film_u0029_	wd:Q820061
dbr:Happy_Days__u0028_1929_film_u0029_	wd:Q3765965
dbr:Holcocera_nuptae	wd:Q15641321
dbr:Nintendo_Entertainment_Analysis__u0026__Development	wd:Q170420
dbr:You_u0027_re_the_Greatest_u002C__Charlie_Brown	wd:Q8056649
dbr:The_Interrupted_Journey	wd:Q12125113
dbr:The_Beastmaster	wd:Q813050
dbr:Superman_II	wd:Q267672
dbr:Natalis_Chan	wd:Q698507
dbr:Aviation_accidents_and_incidents	wd:Q744913
dbr:Ay_Chico__u0028_Lengua_Afuera_u0029_	wd:Q3631348
dbr:The_Most_Beautiful_Girl	wd:Q2335665
dbr:Arcade_u0027_s_Greatest_Hits_u003A__The_Atari_Collection_1	wd:Q2859905
dbr:The_Bront_u00EB__Sisters	wd:Q2080614
dbr:Sol_Polito	wd:Q716493
dbr:Sebastian_u003A__Party_Gras_u0021_	wd:Q7442351
dbr:Tobias_Manderson_u002D_Galvin	wd:Q7811650
dbr:Wisconsin	wd:Q1537
dbr:Pavel_Vorobiev	wd:Q933465
dbr:In_a_Valley_of_Violence	wd:Q18151017
dbr:Twentieth_Century__u0028_film_u0029_	wd:Q1788051
dbr:Kachchi_Sadak	wd:Q6344633
